1.00
1.40
0.10
  1309
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1309       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1308       0.079122      7736.     1.57198E+04     0.00000E+00     1.83402E-01
   1307       0.403300     39441.     1.75849E-01     0.00000E+00     9.34837E-01
   1306       0.403300     26762.     7.02756E-01     6.26351E-07     9.34837E-01
   1305       0.403375     26762.     7.02770E-01     6.26401E-07     9.35010E-01
   1304       0.403398     26758.     7.02910E-01     6.26896E-07     9.35064E-01
   1303       0.403421     26754.     7.03049E-01     6.27390E-07     9.35117E-01
   1302       0.403444     26750.     7.03188E-01     6.27884E-07     9.35171E-01
   1301       0.403467     26746.     7.03325E-01     6.28378E-07     9.35224E-01
   1300       0.403490     26742.     7.03462E-01     6.28871E-07     9.35278E-01
   1299       0.403513     26739.     7.03598E-01     6.29363E-07     9.35331E-01
   1298       0.403536     26735.     7.03734E-01     6.29855E-07     9.35384E-01
   1297       0.403559     26731.     7.03868E-01     6.30347E-07     9.35438E-01
   1296       0.403583     26727.     7.04002E-01     6.30838E-07     9.35491E-01
   1295       0.403606     26723.     7.04134E-01     6.31329E-07     9.35545E-01
   1294       0.403629     26719.     7.04266E-01     6.31819E-07     9.35598E-01
   1293       0.403652     26715.     7.04398E-01     6.32308E-07     9.35652E-01
   1292       0.403675     26712.     7.04528E-01     6.32798E-07     9.35705E-01
   1291       0.403698     26708.     7.04658E-01     6.33286E-07     9.35759E-01
   1290       0.403721     26704.     7.04787E-01     6.33775E-07     9.35812E-01
   1289       0.403744     26700.     7.04915E-01     6.34262E-07     9.35866E-01
   1288       0.403767     26696.     7.05042E-01     6.34750E-07     9.35919E-01
   1287       0.403790     26693.     7.05168E-01     6.35237E-07     9.35973E-01
   1286       0.403813     26689.     7.05294E-01     6.35723E-07     9.36026E-01
   1285       0.403836     26685.     7.05419E-01     6.36209E-07     9.36080E-01
   1284       0.403859     26681.     7.05543E-01     6.36694E-07     9.36133E-01
   1283       0.403882     26678.     7.05666E-01     6.37180E-07     9.36187E-01
   1282       0.403906     26674.     7.05789E-01     6.37664E-07     9.36240E-01
   1281       0.403929     26670.     7.05911E-01     6.38148E-07     9.36294E-01
   1280       0.403952     26666.     7.06032E-01     6.38632E-07     9.36347E-01
   1279       0.403975     26663.     7.06152E-01     6.39115E-07     9.36401E-01
   1278       0.403998     26659.     7.06271E-01     6.39598E-07     9.36454E-01
   1277       0.404021     26655.     7.06390E-01     6.40080E-07     9.36508E-01
   1276       0.404044     26651.     7.06508E-01     6.40562E-07     9.36561E-01
   1275       0.404067     26648.     7.06625E-01     6.41044E-07     9.36615E-01
   1274       0.404090     26644.     7.06741E-01     6.41525E-07     9.36668E-01
   1273       0.404113     26640.     7.06857E-01     6.42005E-07     9.36722E-01
   1272       0.404136     26636.     7.06972E-01     6.42485E-07     9.36775E-01
   1271       0.404159     26633.     7.07086E-01     6.42965E-07     9.36829E-01
   1270       0.404183     26629.     7.07199E-01     6.43444E-07     9.36882E-01
   1269       0.404206     26625.     7.07312E-01     6.43923E-07     9.36936E-01
   1268       0.404229     26622.     7.07423E-01     6.44402E-07     9.36989E-01
   1267       0.404252     26618.     7.07534E-01     6.44880E-07     9.37043E-01
   1266       0.404275     26614.     7.07645E-01     6.45357E-07     9.37096E-01
   1265       0.404298     26611.     7.07754E-01     6.45834E-07     9.37150E-01
   1264       0.404321     26607.     7.07863E-01     6.46311E-07     9.37204E-01
   1263       0.404344     26603.     7.07971E-01     6.46787E-07     9.37257E-01
   1262       0.404367     26600.     7.08078E-01     6.47263E-07     9.37311E-01
   1261       0.404390     26596.     7.08184E-01     6.47738E-07     9.37364E-01
   1260       0.404414     26592.     7.08290E-01     6.48213E-07     9.37418E-01
   1259       0.404437     26589.     7.08395E-01     6.48688E-07     9.37471E-01
   1258       0.404460     26585.     7.08499E-01     6.49162E-07     9.37525E-01
   1257       0.404483     26582.     7.08602E-01     6.49636E-07     9.37578E-01
   1256       0.404506     26578.     7.08705E-01     6.50109E-07     9.37632E-01
   1255       0.404529     26574.     7.08807E-01     6.50582E-07     9.37686E-01
   1254       0.404552     26571.     7.08908E-01     6.51054E-07     9.37739E-01
   1253       0.404575     26567.     7.09009E-01     6.51526E-07     9.37793E-01
   1252       0.404599     26564.     7.09108E-01     6.51998E-07     9.37846E-01
   1251       0.404622     26560.     7.09207E-01     6.52469E-07     9.37900E-01
   1250       0.404645     26556.     7.09305E-01     6.52940E-07     9.37954E-01
   1249       0.404668     26553.     7.09403E-01     6.53410E-07     9.38007E-01
   1248       0.404691     26549.     7.09499E-01     6.53880E-07     9.38061E-01
   1247       0.404714     26546.     7.09595E-01     6.54350E-07     9.38114E-01
   1246       0.404737     26542.     7.09690E-01     6.54819E-07     9.38168E-01
   1245       0.404760     26539.     7.09785E-01     6.55287E-07     9.38222E-01
   1244       0.404784     26535.     7.09878E-01     6.55756E-07     9.38275E-01
   1243       0.404807     26531.     7.09971E-01     6.56224E-07     9.38329E-01
   1242       0.404830     26528.     7.10064E-01     6.56691E-07     9.38382E-01
   1241       0.404853     26524.     7.10155E-01     6.57158E-07     9.38436E-01
   1240       0.404876     26521.     7.10246E-01     6.57625E-07     9.38490E-01
   1239       0.404899     26517.     7.10336E-01     6.58091E-07     9.38543E-01
   1238       0.404922     26514.     7.10425E-01     6.58557E-07     9.38597E-01
   1237       0.404945     26510.     7.10514E-01     6.59023E-07     9.38651E-01
   1236       0.404969     26507.     7.10601E-01     6.59488E-07     9.38704E-01
   1235       0.404992     26503.     7.10688E-01     6.59953E-07     9.38758E-01
   1234       0.405015     26500.     7.10775E-01     6.60417E-07     9.38812E-01
   1233       0.405038     26496.     7.10860E-01     6.60881E-07     9.38865E-01
   1232       0.405061     26493.     7.10945E-01     6.61344E-07     9.38919E-01
   1231       0.405084     26489.     7.11029E-01     6.61808E-07     9.38972E-01
   1230       0.405107     26486.     7.11113E-01     6.62270E-07     9.39026E-01
   1229       0.405131     26482.     7.11195E-01     6.62733E-07     9.39080E-01
   1228       0.405154     26479.     7.11277E-01     6.63195E-07     9.39133E-01
   1227       0.405177     26475.     7.11359E-01     6.63656E-07     9.39187E-01
   1226       0.405200     26472.     7.11439E-01     6.64117E-07     9.39241E-01
   1225       0.405223     26469.     7.11519E-01     6.64578E-07     9.39294E-01
   1224       0.405246     26465.     7.11598E-01     6.65039E-07     9.39348E-01
   1223       0.405270     26462.     7.11676E-01     6.65499E-07     9.39402E-01
   1222       0.405293     26458.     7.11754E-01     6.65958E-07     9.39455E-01
   1221       0.405316     26455.     7.11831E-01     6.66418E-07     9.39509E-01
   1220       0.405339     26451.     7.11907E-01     6.66876E-07     9.39563E-01
   1219       0.405362     26448.     7.11982E-01     6.67335E-07     9.39617E-01
   1218       0.405385     26444.     7.12057E-01     6.67793E-07     9.39670E-01
   1217       0.405409     26441.     7.12131E-01     6.68251E-07     9.39724E-01
   1216       0.405432     26438.     7.12204E-01     6.68708E-07     9.39778E-01
   1215       0.405455     26434.     7.12277E-01     6.69165E-07     9.39831E-01
   1214       0.405478     26431.     7.12349E-01     6.69622E-07     9.39885E-01
   1213       0.405501     26427.     7.12420E-01     6.70078E-07     9.39939E-01
   1212       0.405524     26424.     7.12490E-01     6.70534E-07     9.39992E-01
   1211       0.405548     26421.     7.12560E-01     6.70989E-07     9.40046E-01
   1210       0.405571     26417.     7.12629E-01     6.71444E-07     9.40100E-01
   1209       0.405594     26414.     7.12697E-01     6.71899E-07     9.40154E-01
   1208       0.405617     26411.     7.12765E-01     6.72354E-07     9.40207E-01
   1207       0.405640     26407.     7.12831E-01     6.72808E-07     9.40261E-01
   1206       0.405663     26404.     7.12898E-01     6.73261E-07     9.40315E-01
   1205       0.405687     26400.     7.12963E-01     6.73714E-07     9.40369E-01
   1204       0.405710     26397.     7.13028E-01     6.74167E-07     9.40422E-01
   1203       0.405733     26394.     7.13092E-01     6.74620E-07     9.40476E-01
   1202       0.405756     26390.     7.13155E-01     6.75072E-07     9.40530E-01
   1201       0.405779     26387.     7.13218E-01     6.75524E-07     9.40584E-01
   1200       0.405803     26384.     7.13279E-01     6.75975E-07     9.40637E-01
   1199       0.405826     26380.     7.13341E-01     6.76426E-07     9.40691E-01
   1198       0.405849     26377.     7.13401E-01     6.76877E-07     9.40745E-01
   1197       0.405872     26374.     7.13461E-01     6.77327E-07     9.40799E-01
   1196       0.405895     26370.     7.13520E-01     6.77777E-07     9.40852E-01
   1195       0.405918     26367.     7.13578E-01     6.78227E-07     9.40906E-01
   1194       0.405942     26364.     7.13636E-01     6.78676E-07     9.40960E-01
   1193       0.405965     26360.     7.13693E-01     6.79125E-07     9.41014E-01
   1192       0.405988     26357.     7.13749E-01     6.79574E-07     9.41067E-01
   1191       0.406011     26354.     7.13804E-01     6.80022E-07     9.41121E-01
   1190       0.406034     26351.     7.13859E-01     6.80470E-07     9.41175E-01
   1189       0.406058     26347.     7.13913E-01     6.80917E-07     9.41229E-01
   1188       0.406081     26344.     7.13967E-01     6.81364E-07     9.41282E-01
   1187       0.406104     26341.     7.14019E-01     6.81811E-07     9.41336E-01
   1186       0.406127     26337.     7.14071E-01     6.82258E-07     9.41390E-01
   1185       0.406151     26334.     7.14123E-01     6.82704E-07     9.41444E-01
   1184       0.406174     26331.     7.14173E-01     6.83149E-07     9.41498E-01
