1.00
1.40
0.10
  1277
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1277       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1276       0.079122      7736.     1.57198E+04     0.00000E+00     1.80305E-01
   1275       0.410240     40119.     1.56053E-01     0.00000E+00     9.34866E-01
   1274       0.410240     27222.     6.23779E-01     5.74296E-07     9.34866E-01
   1273       0.410304     27222.     6.23791E-01     5.74341E-07     9.35010E-01
   1272       0.410327     27218.     6.23916E-01     5.74795E-07     9.35064E-01
   1271       0.410350     27214.     6.24039E-01     5.75248E-07     9.35117E-01
   1270       0.410374     27210.     6.24162E-01     5.75701E-07     9.35171E-01
   1269       0.410397     27206.     6.24284E-01     5.76153E-07     9.35224E-01
   1268       0.410421     27202.     6.24406E-01     5.76605E-07     9.35278E-01
   1267       0.410444     27198.     6.24526E-01     5.77057E-07     9.35331E-01
   1266       0.410468     27194.     6.24646E-01     5.77508E-07     9.35384E-01
   1265       0.410491     27190.     6.24766E-01     5.77959E-07     9.35438E-01
   1264       0.410515     27186.     6.24884E-01     5.78409E-07     9.35491E-01
   1263       0.410538     27182.     6.25002E-01     5.78859E-07     9.35545E-01
   1262       0.410562     27178.     6.25119E-01     5.79308E-07     9.35598E-01
   1261       0.410585     27174.     6.25236E-01     5.79757E-07     9.35652E-01
   1260       0.410608     27170.     6.25352E-01     5.80206E-07     9.35705E-01
   1259       0.410632     27167.     6.25467E-01     5.80654E-07     9.35759E-01
   1258       0.410655     27163.     6.25581E-01     5.81102E-07     9.35812E-01
   1257       0.410679     27159.     6.25695E-01     5.81549E-07     9.35866E-01
   1256       0.410702     27155.     6.25808E-01     5.81996E-07     9.35919E-01
   1255       0.410726     27151.     6.25920E-01     5.82442E-07     9.35973E-01
   1254       0.410749     27147.     6.26032E-01     5.82888E-07     9.36026E-01
   1253       0.410773     27143.     6.26142E-01     5.83334E-07     9.36080E-01
   1252       0.410796     27140.     6.26253E-01     5.83779E-07     9.36133E-01
   1251       0.410820     27136.     6.26362E-01     5.84224E-07     9.36187E-01
   1250       0.410843     27132.     6.26471E-01     5.84668E-07     9.36240E-01
   1249       0.410867     27128.     6.26579E-01     5.85112E-07     9.36294E-01
   1248       0.410890     27124.     6.26686E-01     5.85555E-07     9.36347E-01
   1247       0.410914     27120.     6.26793E-01     5.85999E-07     9.36401E-01
   1246       0.410937     27117.     6.26899E-01     5.86441E-07     9.36454E-01
   1245       0.410961     27113.     6.27004E-01     5.86884E-07     9.36508E-01
   1244       0.410984     27109.     6.27109E-01     5.87325E-07     9.36561E-01
   1243       0.411008     27105.     6.27213E-01     5.87767E-07     9.36615E-01
   1242       0.411031     27102.     6.27316E-01     5.88208E-07     9.36668E-01
   1241       0.411055     27098.     6.27419E-01     5.88649E-07     9.36722E-01
   1240       0.411078     27094.     6.27521E-01     5.89089E-07     9.36775E-01
   1239       0.411101     27090.     6.27622E-01     5.89529E-07     9.36829E-01
   1238       0.411125     27086.     6.27723E-01     5.89968E-07     9.36882E-01
   1237       0.411148     27083.     6.27823E-01     5.90407E-07     9.36936E-01
   1236       0.411172     27079.     6.27922E-01     5.90846E-07     9.36989E-01
   1235       0.411195     27075.     6.28020E-01     5.91284E-07     9.37043E-01
   1234       0.411219     27071.     6.28118E-01     5.91722E-07     9.37096E-01
   1233       0.411242     27068.     6.28215E-01     5.92159E-07     9.37150E-01
   1232       0.411266     27064.     6.28312E-01     5.92596E-07     9.37204E-01
   1231       0.411289     27060.     6.28407E-01     5.93033E-07     9.37257E-01
   1230       0.411313     27057.     6.28503E-01     5.93469E-07     9.37311E-01
   1229       0.411336     27053.     6.28597E-01     5.93905E-07     9.37364E-01
   1228       0.411360     27049.     6.28691E-01     5.94341E-07     9.37418E-01
   1227       0.411383     27046.     6.28784E-01     5.94776E-07     9.37471E-01
   1226       0.411407     27042.     6.28876E-01     5.95210E-07     9.37525E-01
   1225       0.411430     27038.     6.28968E-01     5.95645E-07     9.37579E-01
   1224       0.411454     27034.     6.29059E-01     5.96079E-07     9.37632E-01
   1223       0.411478     27031.     6.29150E-01     5.96512E-07     9.37686E-01
   1222       0.411501     27027.     6.29240E-01     5.96945E-07     9.37739E-01
