1.00
1.40
0.10
  1306
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1222       0.406515     26553.     6.95840E-01     6.53336E-07     9.39293E-01
   1221       0.406538     26549.     6.95917E-01     6.53789E-07     9.39346E-01
   1220       0.406561     26546.     6.95994E-01     6.54241E-07     9.39400E-01
   1219       0.406585     26543.     6.96069E-01     6.54693E-07     9.39454E-01
   1218       0.406608     26539.     6.96145E-01     6.55144E-07     9.39507E-01
   1217       0.406631     26536.     6.96219E-01     6.55595E-07     9.39561E-01
   1216       0.406654     26532.     6.96293E-01     6.56046E-07     9.39615E-01
   1215       0.406678     26529.     6.96366E-01     6.56496E-07     9.39669E-01
   1214       0.406701     26525.     6.96438E-01     6.56946E-07     9.39722E-01
   1213       0.406724     26522.     6.96510E-01     6.57396E-07     9.39776E-01
   1212       0.406747     26519.     6.96581E-01     6.57845E-07     9.39830E-01
   1211       0.406771     26515.     6.96651E-01     6.58294E-07     9.39883E-01
   1210       0.406794     26512.     6.96720E-01     6.58742E-07     9.39937E-01
   1209       0.406817     26508.     6.96789E-01     6.59190E-07     9.39991E-01
   1208       0.406840     26505.     6.96857E-01     6.59638E-07     9.40044E-01
   1207       0.406864     26502.     6.96925E-01     6.60085E-07     9.40098E-01
   1206       0.406887     26498.     6.96991E-01     6.60532E-07     9.40152E-01
   1205       0.406910     26495.     6.97057E-01     6.60979E-07     9.40206E-01
   1204       0.406933     26491.     6.97123E-01     6.61425E-07     9.40259E-01
   1203       0.406957     26488.     6.97187E-01     6.61871E-07     9.40313E-01
   1202       0.406980     26485.     6.97251E-01     6.62317E-07     9.40367E-01
   1201       0.407003     26481.     6.97314E-01     6.62762E-07     9.40421E-01
   1200       0.407026     26478.     6.97377E-01     6.63207E-07     9.40474E-01
   1199       0.407050     26475.     6.97439E-01     6.63651E-07     9.40528E-01
   1198       0.407073     26471.     6.97500E-01     6.64095E-07     9.40582E-01
   1197       0.407096     26468.     6.97560E-01     6.64539E-07     9.40636E-01
   1196       0.407119     26464.     6.97620E-01     6.64982E-07     9.40689E-01
   1195       0.407143     26461.     6.97679E-01     6.65425E-07     9.40743E-01
   1194       0.407166     26458.     6.97738E-01     6.65868E-07     9.40797E-01
   1193       0.407189     26454.     6.97795E-01     6.66310E-07     9.40851E-01
   1192       0.407212     26451.     6.97852E-01     6.66752E-07     9.40904E-01
   1191       0.407236     26448.     6.97909E-01     6.67194E-07     9.40958E-01
   1190       0.407259     26445.     6.97964E-01     6.67635E-07     9.41012E-01
   1189       0.407282     26441.     6.98019E-01     6.68076E-07     9.41066E-01
   1188       0.407305     26438.     6.98073E-01     6.68517E-07     9.41119E-01
   1187       0.407329     26435.     6.98127E-01     6.68957E-07     9.41173E-01
   1186       0.407352     26431.     6.98180E-01     6.69397E-07     9.41227E-01
   1185       0.407375     26428.     6.98232E-01     6.69836E-07     9.41281E-01
   1184       0.407399     26425.     6.98283E-01     6.70275E-07     9.41335E-01
   1183       0.407422     26421.     6.98334E-01     6.70714E-07     9.41388E-01
   1182       0.407445     26418.     6.98384E-01     6.71153E-07     9.41442E-01
   1181       0.407468     26415.     6.98434E-01     6.71591E-07     9.41496E-01
   1180       0.407492     26412.     6.98483E-01     6.72028E-07     9.41550E-01
   1179       0.407515     26408.     6.98531E-01     6.72466E-07     9.41604E-01
   1178       0.407538     26405.     6.98578E-01     6.72903E-07     9.41657E-01
   1177       0.407562     26402.     6.98625E-01     6.73340E-07     9.41711E-01
   1176       0.407585     26399.     6.98671E-01     6.73776E-07     9.41765E-01
   1175       0.407608     26395.     6.98716E-01     6.74212E-07     9.41819E-01
   1174       0.407631     26392.     6.98761E-01     6.74648E-07     9.41873E-01
   1173       0.407655     26389.     6.98805E-01     6.75083E-07     9.41926E-01
   1172       0.407678     26386.     6.98848E-01     6.75518E-07     9.41980E-01
   1171       0.407701     26382.     6.98891E-01     6.75953E-07     9.42034E-01
   1170       0.407725     26379.     6.98933E-01     6.76387E-07     9.42088E-01
   1169       0.407748     26376.     6.98974E-01     6.76821E-07     9.42142E-01
   1168       0.407771     26373.     6.99014E-01     6.77255E-07     9.42196E-01
   1167       0.407795     26369.     6.99054E-01     6.77688E-07     9.42249E-01
   1166       0.407818     26366.     6.99094E-01     6.78121E-07     9.42303E-01
   1165       0.407841     26363.     6.99132E-01     6.78554E-07     9.42357E-01
   1164       0.407864     26360.     6.99170E-01     6.78986E-07     9.42411E-01
   1163       0.407888     26357.     6.99207E-01     6.79418E-07     9.42465E-01
   1162       0.407911     26353.     6.99244E-01     6.79850E-07     9.42519E-01
   1161       0.407934     26350.     6.99280E-01     6.80281E-07     9.42573E-01
   1160       0.407958     26347.     6.99315E-01     6.80712E-07     9.42626E-01
   1159       0.407981     26344.     6.99349E-01     6.81143E-07     9.42680E-01
   1158       0.408004     26341.     6.99383E-01     6.81573E-07     9.42734E-01
   1157       0.408028     26337.     6.99416E-01     6.82003E-07     9.42788E-01
   1156       0.408051     26334.     6.99449E-01     6.82433E-07     9.42842E-01
   1155       0.408074     26331.     6.99481E-01     6.82863E-07     9.42896E-01
   1154       0.408098     26328.     6.99512E-01     6.83292E-07     9.42950E-01
   1153       0.408121     26325.     6.99542E-01     6.83720E-07     9.43004E-01
   1152       0.408144     26322.     6.99572E-01     6.84149E-07     9.43057E-01
   1151       0.408168     26318.     6.99601E-01     6.84577E-07     9.43111E-01
   1150       0.408191     26315.     6.99629E-01     6.85005E-07     9.43165E-01
   1149       0.408214     26312.     6.99657E-01     6.85432E-07     9.43219E-01
   1148       0.408238     26309.     6.99684E-01     6.85859E-07     9.43273E-01
   1147       0.408261     26306.     6.99711E-01     6.86286E-07     9.43327E-01
   1146       0.408284     26303.     6.99737E-01     6.86712E-07     9.43381E-01
   1145       0.408308     26300.     6.99762E-01     6.87138E-07     9.43435E-01
   1144       0.408331     26297.     6.99786E-01     6.87564E-07     9.43489E-01
   1143       0.408354     26293.     6.99810E-01     6.87990E-07     9.43543E-01
   1142       0.408378     26290.     6.99833E-01     6.88415E-07     9.43597E-01
   1141       0.408401     26287.     6.99855E-01     6.88840E-07     9.43650E-01
   1140       0.408424     26284.     6.99877E-01     6.89264E-07     9.43704E-01
   1139       0.408448     26281.     6.99898E-01     6.89688E-07     9.43758E-01
   1138       0.408471     26278.     6.99918E-01     6.90112E-07     9.43812E-01
   1137       0.408494     26275.     6.99938E-01     6.90536E-07     9.43866E-01
   1136       0.408518     26272.     6.99957E-01     6.90959E-07     9.43920E-01
   1135       0.408541     26269.     6.99976E-01     6.91382E-07     9.43974E-01
   1134       0.408564     26265.     6.99993E-01     6.91805E-07     9.44028E-01
   1133       0.408588     26262.     7.00010E-01     6.92227E-07     9.44082E-01
   1132       0.408611     26259.     7.00027E-01     6.92649E-07     9.44136E-01
   1131       0.408634     26256.     7.00043E-01     6.93071E-07     9.44190E-01
   1130       0.408658     26253.     7.00058E-01     6.93492E-07     9.44244E-01
   1129       0.408681     26250.     7.00072E-01     6.93913E-07     9.44298E-01
   1128       0.408704     26247.     7.00086E-01     6.94334E-07     9.44352E-01
   1127       0.408728     26244.     7.00099E-01     6.94754E-07     9.44406E-01
   1126       0.408751     26241.     7.00111E-01     6.95174E-07     9.44460E-01
   1125       0.408774     26238.     7.00123E-01     6.95594E-07     9.44514E-01
   1124       0.408798     26235.     7.00134E-01     6.96014E-07     9.44568E-01
   1123       0.408821     26232.     7.00145E-01     6.96433E-07     9.44622E-01
   1122       0.408845     26229.     7.00154E-01     6.96852E-07     9.44676E-01
   1121       0.408868     26226.     7.00163E-01     6.97270E-07     9.44729E-01
   1120       0.408891     26223.     7.00172E-01     6.97689E-07     9.44783E-01
   1119       0.408915     26220.     7.00180E-01     6.98107E-07     9.44837E-01
   1118       0.408938     26217.     7.00187E-01     6.98524E-07     9.44891E-01
   1117       0.408961     26213.     7.00193E-01     6.98942E-07     9.44945E-01
   1116       0.408985     26210.     7.00199E-01     6.99359E-07     9.44999E-01
   1115       0.409008     26207.     7.00204E-01     6.99775E-07     9.45053E-01
   1114       0.409031     26204.     7.00209E-01     7.00192E-07     9.45107E-01
   1113       0.409055     26201.     7.00212E-01     7.00608E-07     9.45161E-01
   1112       0.409078     26198.     7.00215E-01     7.01024E-07     9.45215E-01
   1111       0.409102     26195.     7.00218E-01     7.01439E-07     9.45269E-01
   1110       0.409125     26192.     7.00220E-01     7.01854E-07     9.45324E-01
   1109       0.409148     26189.     7.00221E-01     7.02269E-07     9.45378E-01
   1108       0.409172     26186.     7.00221E-01     7.02684E-07     9.45432E-01
   1107       0.409195     26183.     7.00221E-01     7.03098E-07     9.45486E-01
   1106       0.409218     26180.     7.00220E-01     7.03512E-07     9.45540E-01
   1105       0.409242     26177.     7.00219E-01     7.03926E-07     9.45594E-01
   1104       0.409265     26174.     7.00217E-01     7.04339E-07     9.45648E-01
   1103       0.409289     26171.     7.00214E-01     7.04753E-07     9.45702E-01
   1102       0.409312     26169.     7.00210E-01     7.05165E-07     9.45756E-01
   1101       0.409335     26166.     7.00206E-01     7.05578E-07     9.45810E-01
   1100       0.409359     26163.     7.00201E-01     7.05990E-07     9.45864E-01
   1099       0.409382     26160.     7.00196E-01     7.06402E-07     9.45918E-01
   1098       0.409406     26157.     7.00190E-01     7.06814E-07     9.45972E-01
   1097       0.409429     26154.     7.00183E-01     7.07225E-07     9.46026E-01
   1096       0.409452     26151.     7.00176E-01     7.07636E-07     9.46080E-01
   1095       0.409476     26148.     7.00168E-01     7.08047E-07     9.46134E-01
   1094       0.409499     26145.     7.00159E-01     7.08457E-07     9.46188E-01
   1093       0.409523     26142.     7.00149E-01     7.08867E-07     9.46242E-01
   1092       0.409546     26139.     7.00139E-01     7.09277E-07     9.46296E-01
   1091       0.409569     26136.     7.00129E-01     7.09687E-07     9.46350E-01
   1090       0.409593     26133.     7.00117E-01     7.10096E-07     9.46405E-01
   1089       0.409616     26130.     7.00105E-01     7.10505E-07     9.46459E-01
   1088       0.409640     26127.     7.00092E-01     7.10913E-07     9.46513E-01
   1087       0.409663     26124.     7.00079E-01     7.11322E-07     9.46567E-01
   1086       0.409686     26121.     7.00065E-01     7.11730E-07     9.46621E-01
   1085       0.409710     26118.     7.00050E-01     7.12138E-07     9.46675E-01
   1084       0.409733     26116.     7.00035E-01     7.12545E-07     9.46729E-01
   1083       0.409757     26113.     7.00019E-01     7.12952E-07     9.46783E-01
   1082       0.409780     26110.     7.00002E-01     7.13359E-07     9.46837E-01
   1081       0.409803     26107.     6.99985E-01     7.13766E-07     9.46891E-01
   1080       0.409827     26104.     6.99967E-01     7.14172E-07     9.46945E-01
   1079       0.409850     26101.     6.99948E-01     7.14578E-07     9.47000E-01
   1078       0.409874     26098.     6.99929E-01     7.14984E-07     9.47054E-01
   1077       0.409897     26095.     6.99909E-01     7.15389E-07     9.47108E-01
   1076       0.409921     26092.     6.99889E-01     7.15795E-07     9.47162E-01
   1075       0.409944     26089.     6.99867E-01     7.16200E-07     9.47216E-01
   1074       0.409967     26087.     6.99845E-01     7.16604E-07     9.47270E-01
   1073       0.409991     26084.     6.99823E-01     7.17008E-07     9.47324E-01
   1072       0.410014     26081.     6.99800E-01     7.17413E-07     9.47378E-01
   1071       0.410038     26078.     6.99776E-01     7.17816E-07     9.47433E-01
   1070       0.410061     26075.     6.99751E-01     7.18220E-07     9.47487E-01
   1069       0.410085     26072.     6.99726E-01     7.18623E-07     9.47541E-01
   1068       0.410108     26069.     6.99700E-01     7.19026E-07     9.47595E-01
   1067       0.410131     26067.     6.99674E-01     7.19428E-07     9.47649E-01
   1066       0.410155     26064.     6.99646E-01     7.19831E-07     9.47703E-01
   1065       0.410178     26061.     6.99619E-01     7.20233E-07     9.47757E-01
   1064       0.410202     26058.     6.99590E-01     7.20634E-07     9.47812E-01
   1063       0.410225     26055.     6.99561E-01     7.21036E-07     9.47866E-01
   1062       0.410249     26052.     6.99531E-01     7.21437E-07     9.47920E-01
   1061       0.410272     26049.     6.99501E-01     7.21838E-07     9.47974E-01
   1060       0.410296     26047.     6.99469E-01     7.22239E-07     9.48028E-01
   1059       0.410319     26044.     6.99438E-01     7.22639E-07     9.48082E-01
   1058       0.410342     26041.     6.99405E-01     7.23039E-07     9.48137E-01
   1057       0.410366     26038.     6.99372E-01     7.23439E-07     9.48191E-01
   1056       0.410389     26035.     6.99338E-01     7.23838E-07     9.48245E-01
   1055       0.410413     26032.     6.99304E-01     7.24237E-07     9.48299E-01
   1054       0.410436     26030.     6.99269E-01     7.24636E-07     9.48353E-01
   1053       0.410460     26027.     6.99233E-01     7.25035E-07     9.48408E-01
   1052       0.410483     26024.     6.99197E-01     7.25433E-07     9.48462E-01
   1051       0.410507     26021.     6.99160E-01     7.25832E-07     9.48516E-01
   1050       0.410530     26018.     6.99122E-01     7.26229E-07     9.48570E-01
   1049       0.410554     26016.     6.99084E-01     7.26627E-07     9.48624E-01
   1048       0.410577     26013.     6.99045E-01     7.27024E-07     9.48679E-01
   1047       0.410600     26010.     6.99005E-01     7.27421E-07     9.48733E-01
   1046       0.410624     26007.     6.98965E-01     7.27818E-07     9.48787E-01
   1045       0.410647     26004.     6.98924E-01     7.28214E-07     9.48841E-01
   1044       0.410671     26002.     6.98882E-01     7.28610E-07     9.48895E-01
   1043       0.410694     25999.     6.98840E-01     7.29006E-07     9.48950E-01
