
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1230       0.253774     16576.     5.27223E+00     1.92774E-06     9.39295E-01
  1229       0.253788     16574.     5.27282E+00     1.92907E-06     9.39348E-01
  1228       0.253803     16572.     5.27340E+00     1.93040E-06     9.39402E-01
  1227       0.253817     16570.     5.27397E+00     1.93174E-06     9.39456E-01
  1226       0.253832     16568.     5.27454E+00     1.93307E-06     9.39510E-01
  1225       0.253846     16566.     5.27510E+00     1.93440E-06     9.39563E-01
  1224       0.253861     16563.     5.27566E+00     1.93573E-06     9.39617E-01
  1223       0.253876     16561.     5.27621E+00     1.93706E-06     9.39671E-01
  1222       0.253890     16559.     5.27676E+00     1.93838E-06     9.39724E-01
  1221       0.253905     16557.     5.27730E+00     1.93971E-06     9.39778E-01
  1220       0.253919     16555.     5.27784E+00     1.94103E-06     9.39832E-01
  1219       0.253934     16553.     5.27837E+00     1.94236E-06     9.39885E-01
  1218       0.253948     16551.     5.27889E+00     1.94368E-06     9.39939E-01
  1217       0.253963     16549.     5.27942E+00     1.94500E-06     9.39993E-01
  1216       0.253977     16546.     5.27993E+00     1.94632E-06     9.40047E-01
  1215       0.253992     16544.     5.28044E+00     1.94764E-06     9.40100E-01
  1214       0.254006     16542.     5.28094E+00     1.94896E-06     9.40154E-01
  1213       0.254021     16540.     5.28144E+00     1.95028E-06     9.40208E-01
  1212       0.254035     16538.     5.28194E+00     1.95159E-06     9.40261E-01
  1211       0.254050     16536.     5.28243E+00     1.95291E-06     9.40315E-01
  1210       0.254064     16534.     5.28291E+00     1.95422E-06     9.40369E-01
  1209       0.254079     16532.     5.28339E+00     1.95554E-06     9.40423E-01
  1208       0.254093     16530.     5.28386E+00     1.95685E-06     9.40476E-01
  1207       0.254108     16527.     5.28433E+00     1.95816E-06     9.40530E-01
  1206       0.254122     16525.     5.28479E+00     1.95947E-06     9.40584E-01
  1205       0.254137     16523.     5.28525E+00     1.96078E-06     9.40638E-01
  1204       0.254151     16521.     5.28570E+00     1.96209E-06     9.40691E-01
  1203       0.254166     16519.     5.28615E+00     1.96339E-06     9.40745E-01
  1202       0.254180     16517.     5.28659E+00     1.96470E-06     9.40799E-01
  1201       0.254195     16515.     5.28703E+00     1.96600E-06     9.40853E-01
  1200       0.254209     16513.     5.28746E+00     1.96731E-06     9.40906E-01
  1199       0.254224     16511.     5.28788E+00     1.96861E-06     9.40960E-01
  1198       0.254238     16509.     5.28830E+00     1.96991E-06     9.41014E-01
  1197       0.254253     16507.     5.28872E+00     1.97121E-06     9.41068E-01
  1196       0.254267     16505.     5.28913E+00     1.97251E-06     9.41122E-01
  1195       0.254282     16503.     5.28953E+00     1.97381E-06     9.41175E-01
  1194       0.254297     16500.     5.28993E+00     1.97511E-06     9.41229E-01
  1193       0.254311     16498.     5.29033E+00     1.97640E-06     9.41283E-01
  1192       0.254326     16496.     5.29072E+00     1.97770E-06     9.41337E-01
  1191       0.254340     16494.     5.29110E+00     1.97899E-06     9.41390E-01
  1190       0.254355     16492.     5.29148E+00     1.98029E-06     9.41444E-01
  1189       0.254369     16490.     5.29186E+00     1.98158E-06     9.41498E-01
  1188       0.254384     16488.     5.29222E+00     1.98287E-06     9.41552E-01
  1187       0.254398     16486.     5.29259E+00     1.98416E-06     9.41606E-01
  1186       0.254413     16484.     5.29295E+00     1.98545E-06     9.41659E-01
  1185       0.254427     16482.     5.29330E+00     1.98674E-06     9.41713E-01
