1.00
1.40
0.10
  1296
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1296       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1295       0.079122      7736.     1.57198E+04     0.00000E+00     1.82101E-01
   1294       0.406174     39723.     1.67327E-01     0.00000E+00     9.34820E-01
   1293       0.406174     26953.     6.68594E-01     6.04385E-07     9.34820E-01
   1292       0.406257     26953.     6.68608E-01     6.04433E-07     9.35010E-01
   1291       0.406280     26949.     6.68741E-01     6.04911E-07     9.35064E-01
   1290       0.406303     26945.     6.68873E-01     6.05388E-07     9.35117E-01
   1289       0.406326     26941.     6.69005E-01     6.05864E-07     9.35171E-01
   1288       0.406350     26937.     6.69136E-01     6.06341E-07     9.35224E-01
   1287       0.406373     26933.     6.69266E-01     6.06816E-07     9.35278E-01
   1286       0.406396     26930.     6.69396E-01     6.07291E-07     9.35331E-01
   1285       0.406419     26926.     6.69524E-01     6.07766E-07     9.35384E-01
   1284       0.406443     26922.     6.69652E-01     6.08241E-07     9.35438E-01
   1283       0.406466     26918.     6.69779E-01     6.08714E-07     9.35491E-01
   1282       0.406489     26914.     6.69906E-01     6.09188E-07     9.35545E-01
   1281       0.406512     26910.     6.70031E-01     6.09661E-07     9.35598E-01
   1280       0.406536     26906.     6.70156E-01     6.10133E-07     9.35652E-01
   1279       0.406559     26902.     6.70280E-01     6.10605E-07     9.35705E-01
   1278       0.406582     26899.     6.70403E-01     6.11077E-07     9.35759E-01
   1277       0.406605     26895.     6.70526E-01     6.11548E-07     9.35812E-01
   1276       0.406628     26891.     6.70648E-01     6.12019E-07     9.35866E-01
   1275       0.406652     26887.     6.70769E-01     6.12489E-07     9.35919E-01
   1274       0.406675     26883.     6.70889E-01     6.12959E-07     9.35973E-01
   1273       0.406698     26880.     6.71009E-01     6.13428E-07     9.36026E-01
   1272       0.406721     26876.     6.71128E-01     6.13897E-07     9.36080E-01
   1271       0.406745     26872.     6.71246E-01     6.14366E-07     9.36133E-01
   1270       0.406768     26868.     6.71363E-01     6.14834E-07     9.36187E-01
   1269       0.406791     26864.     6.71480E-01     6.15301E-07     9.36240E-01
   1268       0.406814     26861.     6.71596E-01     6.15768E-07     9.36294E-01
   1267       0.406838     26857.     6.71711E-01     6.16235E-07     9.36347E-01
   1266       0.406861     26853.     6.71825E-01     6.16701E-07     9.36401E-01
   1265       0.406884     26849.     6.71939E-01     6.17167E-07     9.36454E-01
   1264       0.406907     26845.     6.72052E-01     6.17633E-07     9.36508E-01
   1263       0.406931     26842.     6.72164E-01     6.18098E-07     9.36561E-01
   1262       0.406954     26838.     6.72275E-01     6.18562E-07     9.36615E-01
   1261       0.406977     26834.     6.72386E-01     6.19027E-07     9.36668E-01
   1260       0.407000     26830.     6.72496E-01     6.19490E-07     9.36722E-01
   1259       0.407024     26827.     6.72605E-01     6.19954E-07     9.36775E-01
   1258       0.407047     26823.     6.72714E-01     6.20416E-07     9.36829E-01
   1257       0.407070     26819.     6.72821E-01     6.20879E-07     9.36882E-01
   1256       0.407093     26816.     6.72928E-01     6.21341E-07     9.36936E-01
   1255       0.407117     26812.     6.73035E-01     6.21803E-07     9.36989E-01
   1254       0.407140     26808.     6.73140E-01     6.22264E-07     9.37043E-01
   1253       0.407163     26804.     6.73245E-01     6.22724E-07     9.37096E-01
   1252       0.407186     26801.     6.73349E-01     6.23185E-07     9.37150E-01
   1251       0.407210     26797.     6.73453E-01     6.23645E-07     9.37204E-01
   1250       0.407233     26793.     6.73555E-01     6.24104E-07     9.37257E-01
   1249       0.407256     26790.     6.73657E-01     6.24563E-07     9.37311E-01
   1248       0.407280     26786.     6.73759E-01     6.25022E-07     9.37364E-01
   1247       0.407303     26782.     6.73859E-01     6.25480E-07     9.37418E-01
   1246       0.407326     26779.     6.73959E-01     6.25938E-07     9.37471E-01
   1245       0.407349     26775.     6.74058E-01     6.26396E-07     9.37525E-01
   1244       0.407373     26771.     6.74156E-01     6.26853E-07     9.37578E-01
   1243       0.407396     26768.     6.74254E-01     6.27310E-07     9.37632E-01
   1242       0.407419     26764.     6.74351E-01     6.27766E-07     9.37686E-01
   1241       0.407443     26761.     6.74447E-01     6.28222E-07     9.37739E-01
   1240       0.407466     26757.     6.74543E-01     6.28677E-07     9.37793E-01
   1239       0.407489     26753.     6.74638E-01     6.29132E-07     9.37846E-01
   1238       0.407512     26750.     6.74732E-01     6.29587E-07     9.37900E-01
   1237       0.407536     26746.     6.74825E-01     6.30041E-07     9.37954E-01
   1236       0.407559     26743.     6.74918E-01     6.30495E-07     9.38007E-01
   1235       0.407582     26739.     6.75010E-01     6.30949E-07     9.38061E-01
   1234       0.407606     26735.     6.75101E-01     6.31402E-07     9.38114E-01
   1233       0.407629     26732.     6.75192E-01     6.31854E-07     9.38168E-01
   1232       0.407652     26728.     6.75281E-01     6.32307E-07     9.38222E-01
   1231       0.407675     26725.     6.75370E-01     6.32759E-07     9.38275E-01
   1230       0.407699     26721.     6.75459E-01     6.33210E-07     9.38329E-01
   1229       0.407722     26717.     6.75547E-01     6.33661E-07     9.38382E-01
   1228       0.407745     26714.     6.75634E-01     6.34112E-07     9.38436E-01
   1227       0.407769     26710.     6.75720E-01     6.34562E-07     9.38490E-01
   1226       0.407792     26707.     6.75806E-01     6.35012E-07     9.38543E-01
   1225       0.407815     26703.     6.75891E-01     6.35462E-07     9.38597E-01
   1224       0.407839     26700.     6.75975E-01     6.35911E-07     9.38651E-01
   1223       0.407862     26696.     6.76058E-01     6.36360E-07     9.38704E-01
   1222       0.407885     26693.     6.76141E-01     6.36808E-07     9.38758E-01
   1221       0.407908     26689.     6.76223E-01     6.37256E-07     9.38812E-01
   1220       0.407932     26686.     6.76305E-01     6.37704E-07     9.38865E-01
   1219       0.407955     26682.     6.76385E-01     6.38151E-07     9.38919E-01
   1218       0.407978     26679.     6.76465E-01     6.38598E-07     9.38972E-01
