1.00
1.40
0.10
  1305
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1221       0.406036     26522.     7.01614E-01     6.57405E-07     9.39294E-01
   1220       0.406059     26518.     7.01691E-01     6.57860E-07     9.39348E-01
   1219       0.406082     26515.     7.01769E-01     6.58315E-07     9.39402E-01
   1218       0.406105     26511.     7.01845E-01     6.58770E-07     9.39456E-01
   1217       0.406128     26508.     7.01921E-01     6.59224E-07     9.39509E-01
   1216       0.406152     26504.     7.01996E-01     6.59678E-07     9.39563E-01
   1215       0.406175     26501.     7.02070E-01     6.60132E-07     9.39617E-01
   1214       0.406198     26497.     7.02144E-01     6.60585E-07     9.39670E-01
   1213       0.406221     26494.     7.02217E-01     6.61038E-07     9.39724E-01
   1212       0.406244     26491.     7.02289E-01     6.61490E-07     9.39778E-01
   1211       0.406268     26487.     7.02361E-01     6.61942E-07     9.39831E-01
   1210       0.406291     26484.     7.02432E-01     6.62394E-07     9.39885E-01
   1209       0.406314     26480.     7.02502E-01     6.62845E-07     9.39939E-01
   1208       0.406337     26477.     7.02571E-01     6.63296E-07     9.39992E-01
   1207       0.406361     26474.     7.02640E-01     6.63747E-07     9.40046E-01
   1206       0.406384     26470.     7.02708E-01     6.64197E-07     9.40100E-01
   1205       0.406407     26467.     7.02775E-01     6.64647E-07     9.40154E-01
   1204       0.406430     26463.     7.02842E-01     6.65096E-07     9.40207E-01
   1203       0.406453     26460.     7.02908E-01     6.65545E-07     9.40261E-01
   1202       0.406477     26457.     7.02973E-01     6.65994E-07     9.40315E-01
   1201       0.406500     26453.     7.03038E-01     6.66443E-07     9.40369E-01
   1200       0.406523     26450.     7.03101E-01     6.66891E-07     9.40422E-01
   1199       0.406546     26447.     7.03164E-01     6.67338E-07     9.40476E-01
   1198       0.406570     26443.     7.03227E-01     6.67786E-07     9.40530E-01
   1197       0.406593     26440.     7.03288E-01     6.68232E-07     9.40584E-01
   1196       0.406616     26437.     7.03349E-01     6.68679E-07     9.40637E-01
   1195       0.406639     26433.     7.03410E-01     6.69125E-07     9.40691E-01
   1194       0.406663     26430.     7.03469E-01     6.69571E-07     9.40745E-01
   1193       0.406686     26427.     7.03528E-01     6.70017E-07     9.40799E-01
   1192       0.406709     26423.     7.03586E-01     6.70462E-07     9.40852E-01
   1191       0.406732     26420.     7.03644E-01     6.70906E-07     9.40906E-01
   1190       0.406756     26417.     7.03701E-01     6.71351E-07     9.40960E-01
   1189       0.406779     26413.     7.03757E-01     6.71795E-07     9.41014E-01
   1188       0.406802     26410.     7.03812E-01     6.72239E-07     9.41067E-01
   1187       0.406825     26407.     7.03867E-01     6.72682E-07     9.41121E-01
   1186       0.406848     26403.     7.03921E-01     6.73125E-07     9.41175E-01
   1185       0.406872     26400.     7.03974E-01     6.73568E-07     9.41229E-01
   1184       0.406895     26397.     7.04027E-01     6.74010E-07     9.41283E-01
   1183       0.406918     26394.     7.04079E-01     6.74452E-07     9.41336E-01
   1182       0.406941     26390.     7.04130E-01     6.74893E-07     9.41390E-01
   1181       0.406965     26387.     7.04181E-01     6.75335E-07     9.41444E-01
   1180       0.406988     26384.     7.04231E-01     6.75776E-07     9.41498E-01
