
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   514       0.314835      1859.     4.62743E+00     3.84405E-06     9.75174E-01
   513       0.314871      1859.     4.62072E+00     3.84641E-06     9.75286E-01
   512       0.314907      1858.     4.61398E+00     3.84878E-06     9.75397E-01
   511       0.314943      1858.     4.60720E+00     3.85113E-06     9.75509E-01
   510       0.314979      1858.     4.60038E+00     3.85348E-06     9.75620E-01
   509       0.315015      1857.     4.59352E+00     3.85583E-06     9.75732E-01
   508       0.315051      1857.     4.58663E+00     3.85817E-06     9.75843E-01
   507       0.315087      1857.     4.57970E+00     3.86051E-06     9.75955E-01
   506       0.315123      1857.     4.57273E+00     3.86284E-06     9.76066E-01
   505       0.315159      1856.     4.56572E+00     3.86517E-06     9.76178E-01
   504       0.315195      1856.     4.55868E+00     3.86749E-06     9.76289E-01
   503       0.315231      1856.     4.55159E+00     3.86981E-06     9.76401E-01
   502       0.315267      1855.     4.54447E+00     3.87212E-06     9.76513E-01
   501       0.315303      1855.     4.53731E+00     3.87443E-06     9.76624E-01
   500       0.315339      1855.     4.53011E+00     3.87673E-06     9.76736E-01
   499       0.315375      1855.     4.52287E+00     3.87903E-06     9.76847E-01
   498       0.315411      1854.     4.51559E+00     3.88132E-06     9.76959E-01
   497       0.315447      1854.     4.50827E+00     3.88361E-06     9.77071E-01
   496       0.315483      1854.     4.50091E+00     3.88589E-06     9.77182E-01
   495       0.315519      1854.     4.49352E+00     3.88817E-06     9.77294E-01
   494       0.315555      1853.     4.48608E+00     3.89044E-06     9.77406E-01
   493       0.315591      1853.     4.47860E+00     3.89271E-06     9.77517E-01
   492       0.315627      1853.     4.47108E+00     3.89497E-06     9.77629E-01
   491       0.315663      1852.     4.46351E+00     3.89723E-06     9.77741E-01
   490       0.315700      1852.     4.45591E+00     3.89948E-06     9.77853E-01
   489       0.315736      1852.     4.44827E+00     3.90173E-06     9.77964E-01
   488       0.315772      1852.     4.44058E+00     3.90397E-06     9.78076E-01
   487       0.315808      1851.     4.43285E+00     3.90621E-06     9.78188E-01
   486       0.315844      1851.     4.42508E+00     3.90844E-06     9.78300E-01
   485       0.315880      1851.     4.41727E+00     3.91067E-06     9.78412E-01
   484       0.315916      1851.     4.40941E+00     3.91289E-06     9.78523E-01
   483       0.315952      1850.     4.40151E+00     3.91511E-06     9.78635E-01
   482       0.315988      1850.     4.39356E+00     3.91732E-06     9.78747E-01
   481       0.316024      1850.     4.38558E+00     3.91953E-06     9.78859E-01
   480       0.316061      1849.     4.37755E+00     3.92173E-06     9.78971E-01
   479       0.316097      1849.     4.36947E+00     3.92392E-06     9.79083E-01
   478       0.316133      1849.     4.36135E+00     3.92611E-06     9.79195E-01
   477       0.316169      1849.     4.35318E+00     3.92830E-06     9.79307E-01
   476       0.316205      1848.     4.34497E+00     3.93048E-06     9.79418E-01
   475       0.316241      1848.     4.33672E+00     3.93265E-06     9.79530E-01
   474       0.316277      1848.     4.32841E+00     3.93482E-06     9.79642E-01
   473       0.316314      1848.     4.32007E+00     3.93699E-06     9.79754E-01
   472       0.316350      1847.     4.31167E+00     3.93914E-06     9.79866E-01
   471       0.316386      1847.     4.30323E+00     3.94130E-06     9.79978E-01
   470       0.316422      1847.     4.29474E+00     3.94345E-06     9.80090E-01
   469       0.316458      1847.     4.28621E+00     3.94559E-06     9.80202E-01
   468       0.316494      1846.     4.27762E+00     3.94773E-06     9.80314E-01
   467       0.316530      1846.     4.26899E+00     3.94986E-06     9.80426E-01
   466       0.316567      1846.     4.26031E+00     3.95198E-06     9.80538E-01
   465       0.316603      1845.     4.25158E+00     3.95411E-06     9.80651E-01
   464       0.316639      1845.     4.24280E+00     3.95622E-06     9.80763E-01
   463       0.316675      1845.     4.23397E+00     3.95833E-06     9.80875E-01
   462       0.316711      1845.     4.22510E+00     3.96044E-06     9.80987E-01
   461       0.316748      1844.     4.21617E+00     3.96253E-06     9.81099E-01
   460       0.316784      1844.     4.20719E+00     3.96463E-06     9.81211E-01
   459       0.316820      1844.     4.19816E+00     3.96672E-06     9.81323E-01
   458       0.316856      1844.     4.18908E+00     3.96880E-06     9.81435E-01
   457       0.316892      1843.     4.17995E+00     3.97088E-06     9.81548E-01
   456       0.316929      1843.     4.17076E+00     3.97295E-06     9.81660E-01
   455       0.316965      1843.     4.16152E+00     3.97501E-06     9.81772E-01
   454       0.317001      1843.     4.15223E+00     3.97707E-06     9.81884E-01
   453       0.317037      1842.     4.14289E+00     3.97913E-06     9.81996E-01
   452       0.317074      1842.     4.13349E+00     3.98118E-06     9.82109E-01
   451       0.317110      1842.     4.12404E+00     3.98322E-06     9.82221E-01
   450       0.317146      1842.     4.11453E+00     3.98526E-06     9.82333E-01
   449       0.317182      1841.     4.10497E+00     3.98729E-06     9.82445E-01
   448       0.317219      1841.     4.09535E+00     3.98931E-06     9.82558E-01
   447       0.317255      1841.     4.08568E+00     3.99133E-06     9.82670E-01
   446       0.317291      1840.     4.07595E+00     3.99335E-06     9.82782E-01
   445       0.317327      1840.     4.06616E+00     3.99536E-06     9.82895E-01
   444       0.317364      1840.     4.05631E+00     3.99736E-06     9.83007E-01
   443       0.317400      1840.     4.04641E+00     3.99936E-06     9.83119E-01
   442       0.317436      1839.     4.03645E+00     4.00135E-06     9.83232E-01
   441       0.317472      1839.     4.02643E+00     4.00333E-06     9.83344E-01
   440       0.317509      1839.     4.01635E+00     4.00531E-06     9.83456E-01
   439       0.317545      1839.     4.00621E+00     4.00728E-06     9.83569E-01
   438       0.317581      1838.     3.99601E+00     4.00925E-06     9.83681E-01
   437       0.317618      1838.     3.98574E+00     4.01121E-06     9.83794E-01
   436       0.317654      1838.     3.97542E+00     4.01317E-06     9.83906E-01
   435       0.317690      1838.     3.96503E+00     4.01512E-06     9.84019E-01
   434       0.317727      1837.     3.95458E+00     4.01706E-06     9.84131E-01
   433       0.317763      1837.     3.94407E+00     4.01900E-06     9.84243E-01
   432       0.317799      1837.     3.93349E+00     4.02093E-06     9.84356E-01
   431       0.317835      1837.     3.92285E+00     4.02285E-06     9.84468E-01
   430       0.317872      1836.     3.91215E+00     4.02477E-06     9.84581E-01
   429       0.317908      1836.     3.90137E+00     4.02669E-06     9.84694E-01
   428       0.317944      1836.     3.89053E+00     4.02859E-06     9.84806E-01
   427       0.317981      1836.     3.87963E+00     4.03049E-06     9.84919E-01
   426       0.318017      1835.     3.86865E+00     4.03239E-06     9.85031E-01
   425       0.318053      1835.     3.85761E+00     4.03427E-06     9.85144E-01
   424       0.318090      1835.     3.84650E+00     4.03615E-06     9.85256E-01
   423       0.318126      1835.     3.83532E+00     4.03803E-06     9.85369E-01
   422       0.318163      1834.     3.82406E+00     4.03990E-06     9.85482E-01
   421       0.318199      1834.     3.81274E+00     4.04176E-06     9.85594E-01
   420       0.318235      1834.     3.80134E+00     4.04362E-06     9.85707E-01
   419       0.318272      1834.     3.78987E+00     4.04547E-06     9.85820E-01
   418       0.318308      1833.     3.77833E+00     4.04731E-06     9.85932E-01
   417       0.318344      1833.     3.76671E+00     4.04915E-06     9.86045E-01
   416       0.318381      1833.     3.75501E+00     4.05098E-06     9.86158E-01
   415       0.318417      1833.     3.74325E+00     4.05280E-06     9.86270E-01
   414       0.318454      1832.     3.73140E+00     4.05462E-06     9.86383E-01
   413       0.318490      1832.     3.71947E+00     4.05643E-06     9.86496E-01
   412       0.318526      1832.     3.70747E+00     4.05823E-06     9.86608E-01
   411       0.318563      1832.     3.69539E+00     4.06003E-06     9.86721E-01
   410       0.318599      1831.     3.68322E+00     4.06182E-06     9.86834E-01
   409       0.318636      1831.     3.67098E+00     4.06360E-06     9.86947E-01
   408       0.318672      1831.     3.65865E+00     4.06538E-06     9.87060E-01
   407       0.318708      1831.     3.64623E+00     4.06715E-06     9.87172E-01
   406       0.318745      1830.     3.63374E+00     4.06891E-06     9.87285E-01
   405       0.318781      1830.     3.62116E+00     4.07067E-06     9.87398E-01
   404       0.318818      1830.     3.60849E+00     4.07242E-06     9.87511E-01
   403       0.318854      1830.     3.59573E+00     4.07416E-06     9.87624E-01
   402       0.318891      1829.     3.58288E+00     4.07590E-06     9.87737E-01
   401       0.318927      1829.     3.56995E+00     4.07763E-06     9.87850E-01
   400       0.318964      1829.     3.55692E+00     4.07935E-06     9.87962E-01
   399       0.319000      1829.     3.54380E+00     4.08106E-06     9.88075E-01
   398       0.319036      1828.     3.53059E+00     4.08277E-06     9.88188E-01
   397       0.319073      1828.     3.51728E+00     4.08447E-06     9.88301E-01
   396       0.319109      1828.     3.50388E+00     4.08616E-06     9.88414E-01
   395       0.319146      1828.     3.49037E+00     4.08785E-06     9.88527E-01
   394       0.319182      1827.     3.47677E+00     4.08953E-06     9.88640E-01
   393       0.319219      1827.     3.46307E+00     4.09120E-06     9.88753E-01
   392       0.319255      1827.     3.44927E+00     4.09286E-06     9.88866E-01
   391       0.319292      1827.     3.43536E+00     4.09452E-06     9.88979E-01
   390       0.319328      1826.     3.42135E+00     4.09617E-06     9.89092E-01
   389       0.319365      1826.     3.40724E+00     4.09781E-06     9.89205E-01
   388       0.319401      1826.     3.39301E+00     4.09944E-06     9.89318E-01
   387       0.319438      1826.     3.37868E+00     4.10107E-06     9.89431E-01
   386       0.319474      1825.     3.36424E+00     4.10269E-06     9.89544E-01
   385       0.319511      1825.     3.34968E+00     4.10430E-06     9.89658E-01
   384       0.319547      1825.     3.33501E+00     4.10590E-06     9.89771E-01
   383       0.319584      1825.     3.32022E+00     4.10750E-06     9.89884E-01
   382       0.319620      1824.     3.30531E+00     4.10909E-06     9.89997E-01
   381       0.319657      1824.     3.29029E+00     4.11067E-06     9.90110E-01
   380       0.319693      1824.     3.27514E+00     4.11224E-06     9.90223E-01
   379       0.319730      1824.     3.25987E+00     4.11381E-06     9.90336E-01
   378       0.319766      1824.     3.24447E+00     4.11536E-06     9.90450E-01
   377       0.319803      1823.     3.22895E+00     4.11691E-06     9.90563E-01
   376       0.319840      1823.     3.21329E+00     4.11845E-06     9.90676E-01
   375       0.319876      1823.     3.19750E+00     4.11998E-06     9.90789E-01
   374       0.319913      1823.     3.18157E+00     4.12151E-06     9.90902E-01
   373       0.319949      1822.     3.16551E+00     4.12302E-06     9.91016E-01
   372       0.319986      1822.     3.14931E+00     4.12453E-06     9.91129E-01
   371       0.320022      1822.     3.13296E+00     4.12603E-06     9.91242E-01
   370       0.320059      1822.     3.11647E+00     4.12752E-06     9.91356E-01
   369       0.320096      1821.     3.09984E+00     4.12900E-06     9.91469E-01
   368       0.320132      1821.     3.08305E+00     4.13047E-06     9.91582E-01
   367       0.320169      1821.     3.06610E+00     4.13194E-06     9.91696E-01
   366       0.320205      1821.     3.04900E+00     4.13340E-06     9.91809E-01
   365       0.320242      1820.     3.03174E+00     4.13484E-06     9.91922E-01
   364       0.320279      1820.     3.01432E+00     4.13628E-06     9.92036E-01
   363       0.320315      1820.     2.99672E+00     4.13771E-06     9.92149E-01
   362       0.320352      1820.     2.97896E+00     4.13913E-06     9.92262E-01
   361       0.320388      1819.     2.96103E+00     4.14054E-06     9.92376E-01
   360       0.320425      1819.     2.94291E+00     4.14194E-06     9.92489E-01
   359       0.320462      1819.     2.92462E+00     4.14334E-06     9.92603E-01
   358       0.320498      1819.     2.90613E+00     4.14472E-06     9.92716E-01
   357       0.320535      1818.     2.88746E+00     4.14610E-06     9.92830E-01
   356       0.320571      1818.     2.86859E+00     4.14746E-06     9.92943E-01
   355       0.320608      1818.     2.84952E+00     4.14882E-06     9.93057E-01
   354       0.320645      1818.     2.83025E+00     4.15016E-06     9.93170E-01
   353       0.320681      1818.     2.81077E+00     4.15150E-06     9.93284E-01
   352       0.320718      1817.     2.79108E+00     4.15282E-06     9.93397E-01
   351       0.320755      1817.     2.77116E+00     4.15414E-06     9.93511E-01
   350       0.320791      1817.     2.75102E+00     4.15545E-06     9.93624E-01
   349       0.320828      1817.     2.73064E+00     4.15674E-06     9.93738E-01
   348       0.320865      1816.     2.71003E+00     4.15803E-06     9.93851E-01
   347       0.320901      1816.     2.68917E+00     4.15931E-06     9.93965E-01
   346       0.320938      1816.     2.66806E+00     4.16057E-06     9.94078E-01
   345       0.320975      1816.     2.64669E+00     4.16183E-06     9.94192E-01
   344       0.321011      1815.     2.62505E+00     4.16307E-06     9.94306E-01
   343       0.321048      1815.     2.60314E+00     4.16430E-06     9.94419E-01
   342       0.321085      1815.     2.58095E+00     4.16553E-06     9.94533E-01
   341       0.321121      1815.     2.55846E+00     4.16674E-06     9.94647E-01
   340       0.321158      1814.     2.53567E+00     4.16794E-06     9.94760E-01
   339       0.321195      1814.     2.51257E+00     4.16913E-06     9.94874E-01
   338       0.321232      1814.     2.48915E+00     4.17031E-06     9.94988E-01
   337       0.321268      1814.     2.46539E+00     4.17147E-06     9.95101E-01
   336       0.321305      1814.     2.44129E+00     4.17263E-06     9.95215E-01
   335       0.321342      1813.     2.41683E+00     4.17377E-06     9.95329E-01
   334       0.321378      1813.     2.39200E+00     4.17490E-06     9.95443E-01
   333       0.321415      1813.     2.36679E+00     4.17602E-06     9.95556E-01
   332       0.321452      1813.     2.34117E+00     4.17712E-06     9.95670E-01
   331       0.321489      1812.     2.31514E+00     4.17822E-06     9.95784E-01
   330       0.321525      1812.     2.28868E+00     4.17930E-06     9.95898E-01
   329       0.321562      1812.     2.26176E+00     4.18037E-06     9.96012E-01
   328       0.321599      1812.     2.23437E+00     4.18142E-06     9.96126E-01
   327       0.321636      1811.     2.20648E+00     4.18246E-06     9.96239E-01
   326       0.321672      1811.     2.17809E+00     4.18349E-06     9.96353E-01
   325       0.321709      1811.     2.14914E+00     4.18450E-06     9.96467E-01
   324       0.321746      1811.     2.11963E+00     4.18550E-06     9.96581E-01
   323       0.321783      1811.     2.08953E+00     4.18649E-06     9.96695E-01
   322       0.321820      1810.     2.05879E+00     4.18746E-06     9.96809E-01
   321       0.321856      1810.     2.02739E+00     4.18842E-06     9.96923E-01
   320       0.321893      1810.     1.99528E+00     4.18936E-06     9.97037E-01
   319       0.321930      1810.     1.96243E+00     4.19028E-06     9.97151E-01
   318       0.321967      1809.     1.92879E+00     4.19119E-06     9.97265E-01
   317       0.322003      1809.     1.89430E+00     4.19208E-06     9.97379E-01
   316       0.322040      1809.     1.85892E+00     4.19296E-06     9.97493E-01
   315       0.322077      1809.     1.82256E+00     4.19382E-06     9.97607E-01
   314       0.322114      1808.     1.78517E+00     4.19466E-06     9.97721E-01
   313       0.322151      1808.     1.74666E+00     4.19549E-06     9.97835E-01
   312       0.322188      1808.     1.70694E+00     4.19629E-06     9.97949E-01
   311       0.322224      1808.     1.66590E+00     4.19708E-06     9.98063E-01
   310       0.322261      1808.     1.62342E+00     4.19784E-06     9.98177E-01
   309       0.322298      1807.     1.57936E+00     4.19859E-06     9.98291E-01
   308       0.322335      1807.     1.53354E+00     4.19931E-06     9.98405E-01
   307       0.322372      1807.     1.48577E+00     4.20002E-06     9.98519E-01
   306       0.322409      1807.     1.43581E+00     4.20070E-06     9.98633E-01
   305       0.322445      1806.     1.38336E+00     4.20135E-06     9.98747E-01
   304       0.322482      1806.     1.32806E+00     4.20198E-06     9.98862E-01
   303       0.322519      1806.     1.26945E+00     4.20259E-06     9.98976E-01
   302       0.322556      1806.     1.20693E+00     4.20316E-06     9.99090E-01
   301       0.322593      1806.     1.13970E+00     4.20371E-06     9.99204E-01
   300       0.322630      1805.     1.06666E+00     4.20422E-06     9.99318E-01
   299       0.322667      1805.     9.86173E-01     4.20470E-06     9.99432E-01
   298       0.322703      1805.     8.95734E-01     4.20513E-06     9.99547E-01
   297       0.322740      1805.     7.91015E-01     4.20552E-06     9.99661E-01
   296       0.322777      1804.     6.63362E-01     4.20586E-06     9.99775E-01
   295       0.322814      1804.     4.89424E-01     4.20613E-06     9.99889E-01
   294       0.322899      1804.     1.44463E-01     4.20635E-06     1.00015E+00
   293       0.323084      1802.     2.81599E-01     4.20687E-06     1.00072E+00
   292       0.323268      1801.     3.61508E-01     4.20761E-06     1.00130E+00
   291       0.323453      1800.     4.23009E-01     4.20852E-06     1.00187E+00
   290       0.323638      1799.     4.74552E-01     4.20955E-06     1.00244E+00
   289       0.323823      1798.     5.19653E-01     4.21070E-06     1.00301E+00
   288       0.324008      1797.     5.60167E-01     4.21193E-06     1.00359E+00
   287       0.324193      1796.     5.97211E-01     4.21326E-06     1.00416E+00
   286       0.324379      1795.     6.31519E-01     4.21466E-06     1.00474E+00
   285       0.324564      1794.     6.63600E-01     4.21614E-06     1.00531E+00
   284       0.324750      1792.     6.93828E-01     4.21768E-06     1.00588E+00
   283       0.324935      1791.     7.22483E-01     4.21929E-06     1.00646E+00
   282       0.325121      1790.     7.49784E-01     4.22096E-06     1.00703E+00
   281       0.325307      1789.     7.75903E-01     4.22269E-06     1.00761E+00
   280       0.325493      1788.     8.00982E-01     4.22447E-06     1.00819E+00
   279       0.325679      1787.     8.25136E-01     4.22631E-06     1.00876E+00
   278       0.325865      1786.     8.48460E-01     4.22819E-06     1.00934E+00
   277       0.326051      1785.     8.71035E-01     4.23013E-06     1.00992E+00
   276       0.326238      1784.     8.92932E-01     4.23210E-06     1.01049E+00
   275       0.326424      1783.     9.14210E-01     4.23413E-06     1.01107E+00
   274       0.326611      1781.     9.34920E-01     4.23620E-06     1.01165E+00
   273       0.326797      1780.     9.55108E-01     4.23831E-06     1.01223E+00
   272       0.326984      1779.     9.74813E-01     4.24046E-06     1.01281E+00
   271       0.327171      1778.     9.94071E-01     4.24265E-06     1.01338E+00
   270       0.327358      1777.     1.01291E+00     4.24488E-06     1.01396E+00
   269       0.327545      1776.     1.03137E+00     4.24715E-06     1.01454E+00
   268       0.327732      1775.     1.04946E+00     4.24945E-06     1.01512E+00
   267       0.327920      1774.     1.06721E+00     4.25180E-06     1.01570E+00
   266       0.328107      1773.     1.08464E+00     4.25417E-06     1.01628E+00
   265       0.328295      1772.     1.10177E+00     4.25658E-06     1.01686E+00
   264       0.328482      1771.     1.11862E+00     4.25902E-06     1.01745E+00
   263       0.328670      1770.     1.13520E+00     4.26150E-06     1.01803E+00
   262       0.328858      1769.     1.15153E+00     4.26401E-06     1.01861E+00
   261       0.329046      1768.     1.16762E+00     4.26655E-06     1.01919E+00
   260       0.329234      1767.     1.18348E+00     4.26912E-06     1.01977E+00
   259       0.329422      1765.     1.19912E+00     4.27172E-06     1.02036E+00
   258       0.329610      1764.     1.21456E+00     4.27436E-06     1.02094E+00
   257       0.329799      1763.     1.22980E+00     4.27702E-06     1.02152E+00
   256       0.329987      1762.     1.24485E+00     4.27971E-06     1.02211E+00
   255       0.330176      1761.     1.25973E+00     4.28243E-06     1.02269E+00
   254       0.330365      1760.     1.27443E+00     4.28517E-06     1.02328E+00
   253       0.330554      1759.     1.28897E+00     4.28795E-06     1.02386E+00
   252       0.330742      1758.     1.30335E+00     4.29075E-06     1.02445E+00
   251       0.330932      1757.     1.31759E+00     4.29358E-06     1.02503E+00
   250       0.331121      1756.     1.33168E+00     4.29643E-06     1.02562E+00
   249       0.331310      1755.     1.34563E+00     4.29931E-06     1.02620E+00
   248       0.331499      1754.     1.35945E+00     4.30222E-06     1.02679E+00
   247       0.331689      1753.     1.37314E+00     4.30515E-06     1.02738E+00
   246       0.331878      1752.     1.38671E+00     4.30811E-06     1.02797E+00
   245       0.332068      1751.     1.40016E+00     4.31109E-06     1.02855E+00
   244       0.332258      1750.     1.41350E+00     4.31409E-06     1.02914E+00
   243       0.332448      1749.     1.42672E+00     4.31713E-06     1.02973E+00
   242       0.332638      1748.     1.43985E+00     4.32018E-06     1.03032E+00
   241       0.332828      1747.     1.45287E+00     4.32326E-06     1.03091E+00
   240       0.333018      1746.     1.46579E+00     4.32636E-06     1.03150E+00
   239       0.333209      1745.     1.47861E+00     4.32949E-06     1.03209E+00
   238       0.333399      1744.     1.49135E+00     4.33263E-06     1.03268E+00
   237       0.333590      1743.     1.50400E+00     4.33580E-06     1.03327E+00
   236       0.333780      1742.     1.51656E+00     4.33900E-06     1.03386E+00
   235       0.333971      1741.     1.52903E+00     4.34221E-06     1.03445E+00
   234       0.334162      1740.     1.54143E+00     4.34545E-06     1.03504E+00
   233       0.334353      1739.     1.55375E+00     4.34871E-06     1.03563E+00
   232       0.334544      1738.     1.56600E+00     4.35199E-06     1.03622E+00
   231       0.334735      1737.     1.57817E+00     4.35530E-06     1.03681E+00
   230       0.334927      1736.     1.59027E+00     4.35862E-06     1.03741E+00
   229       0.335118      1735.     1.60231E+00     4.36197E-06     1.03800E+00
   228       0.335310      1734.     1.61427E+00     4.36533E-06     1.03859E+00
   227       0.335501      1734.     1.62618E+00     4.36872E-06     1.03919E+00
   226       0.335693      1733.     1.63802E+00     4.37213E-06     1.03978E+00
   225       0.335885      1732.     1.64980E+00     4.37556E-06     1.04038E+00
   224       0.336077      1731.     1.66152E+00     4.37901E-06     1.04097E+00
   223       0.336269      1730.     1.67319E+00     4.38248E-06     1.04156E+00
   222       0.336461      1729.     1.68480E+00     4.38597E-06     1.04216E+00
   221       0.336654      1728.     1.69635E+00     4.38948E-06     1.04276E+00
   220       0.336846      1727.     1.70786E+00     4.39301E-06     1.04335E+00
   219       0.337038      1726.     1.71931E+00     4.39656E-06     1.04395E+00
   218       0.337231      1725.     1.73072E+00     4.40013E-06     1.04454E+00
   217       0.337424      1724.     1.74207E+00     4.40372E-06     1.04514E+00
   216       0.337617      1723.     1.75338E+00     4.40733E-06     1.04574E+00
   215       0.337810      1722.     1.76465E+00     4.41096E-06     1.04634E+00
   214       0.338003      1721.     1.77587E+00     4.41461E-06     1.04694E+00
   213       0.338196      1721.     1.78705E+00     4.41828E-06     1.04753E+00
   212       0.338389      1720.     1.79819E+00     4.42197E-06     1.04813E+00
   211       0.338583      1719.     1.80929E+00     4.42568E-06     1.04873E+00
   210       0.338776      1718.     1.82035E+00     4.42940E-06     1.04933E+00
   209       0.338970      1717.     1.83137E+00     4.43315E-06     1.04993E+00
   208       0.339164      1716.     1.84236E+00     4.43691E-06     1.05053E+00
   207       0.339358      1715.     1.85330E+00     4.44069E-06     1.05113E+00
   206       0.339552      1714.     1.86422E+00     4.44450E-06     1.05173E+00
   205       0.339746      1713.     1.87510E+00     4.44832E-06     1.05233E+00
   204       0.339940      1712.     1.88595E+00     4.45215E-06     1.05293E+00
   203       0.340134      1712.     1.89676E+00     4.45601E-06     1.05354E+00
   202       0.340329      1711.     1.90754E+00     4.45989E-06     1.05414E+00
   201       0.340523      1710.     1.91830E+00     4.46378E-06     1.05474E+00
   200       0.340718      1709.     1.92902E+00     4.46770E-06     1.05534E+00
   199       0.340912      1708.     1.93972E+00     4.47163E-06     1.05595E+00
   198       0.341107      1707.     1.95039E+00     4.47558E-06     1.05655E+00
   197       0.341302      1706.     1.96103E+00     4.47955E-06     1.05715E+00
   196       0.341497      1705.     1.97164E+00     4.48353E-06     1.05776E+00
   195       0.341693      1705.     1.98223E+00     4.48754E-06     1.05836E+00
   194       0.341888      1704.     1.99280E+00     4.49156E-06     1.05897E+00
   193       0.342083      1703.     2.00334E+00     4.49560E-06     1.05957E+00
   192       0.342279      1702.     2.01385E+00     4.49966E-06     1.06018E+00
   191       0.342474      1701.     2.02435E+00     4.50374E-06     1.06079E+00
   190       0.342670      1700.     2.03482E+00     4.50784E-06     1.06139E+00
   189       0.342866      1700.     2.04527E+00     4.51195E-06     1.06200E+00
   188       0.343062      1699.     2.05570E+00     4.51608E-06     1.06261E+00
   187       0.343258      1698.     2.06611E+00     4.52023E-06     1.06321E+00
   186       0.343454      1697.     2.07650E+00     4.52440E-06     1.06382E+00
   185       0.343651      1696.     2.08687E+00     4.52859E-06     1.06443E+00
   184       0.343847      1695.     2.09722E+00     4.53279E-06     1.06504E+00
   183       0.344044      1695.     2.10756E+00     4.53702E-06     1.06565E+00
   182       0.344240      1694.     2.11788E+00     4.54126E-06     1.06626E+00
   181       0.344437      1693.     2.12818E+00     4.54552E-06     1.06686E+00
   180       0.344634      1692.     2.13846E+00     4.54979E-06     1.06747E+00
   179       0.344831      1691.     2.14873E+00     4.55409E-06     1.06808E+00
   178       0.345028      1690.     2.15898E+00     4.55840E-06     1.06870E+00
   177       0.345225      1690.     2.16922E+00     4.56273E-06     1.06931E+00
   176       0.345423      1689.     2.17945E+00     4.56708E-06     1.06992E+00
   175       0.345620      1688.     2.18966E+00     4.57145E-06     1.07053E+00
   174       0.345818      1687.     2.19986E+00     4.57583E-06     1.07114E+00
   173       0.346015      1686.     2.21004E+00     4.58024E-06     1.07175E+00
   172       0.346213      1686.     2.22021E+00     4.58466E-06     1.07237E+00
   171       0.346411      1685.     2.23037E+00     4.58910E-06     1.07298E+00
   170       0.346609      1684.     2.24052E+00     4.59355E-06     1.07359E+00
   169       0.346807      1683.     2.25066E+00     4.59803E-06     1.07421E+00
   168       0.347005      1683.     2.26079E+00     4.60252E-06     1.07482E+00
   167       0.347204      1682.     2.27091E+00     4.60703E-06     1.07543E+00
   166       0.347402      1681.     2.28101E+00     4.61156E-06     1.07605E+00
   165       0.347601      1680.     2.29111E+00     4.61611E-06     1.07666E+00
   164       0.347799      1680.     2.30120E+00     4.62068E-06     1.07728E+00
   163       0.347998      1679.     2.31128E+00     4.62526E-06     1.07789E+00
   162       0.348197      1678.     2.32135E+00     4.62987E-06     1.07851E+00
   161       0.348396      1677.     2.33142E+00     4.63449E-06     1.07913E+00
   160       0.348595      1676.     2.34147E+00     4.63913E-06     1.07974E+00
   159       0.348794      1676.     2.35152E+00     4.64379E-06     1.08036E+00
   158       0.348994      1675.     2.36157E+00     4.64846E-06     1.08098E+00
   157       0.349193      1674.     2.37160E+00     4.65316E-06     1.08160E+00
   156       0.349393      1673.     2.38163E+00     4.65787E-06     1.08222E+00
   155       0.349593      1673.     2.39166E+00     4.66260E-06     1.08283E+00
   154       0.349792      1672.     2.40168E+00     4.66735E-06     1.08345E+00
   153       0.349992      1671.     2.41169E+00     4.67212E-06     1.08407E+00
   152       0.350192      1671.     2.42170E+00     4.67691E-06     1.08469E+00
   151       0.350393      1670.     2.43170E+00     4.68172E-06     1.08531E+00
   150       0.350593      1669.     2.44171E+00     4.68654E-06     1.08593E+00
   149       0.350793      1668.     2.45170E+00     4.69139E-06     1.08655E+00
   148       0.350994      1668.     2.46170E+00     4.69625E-06     1.08717E+00
   147       0.351194      1667.     2.47169E+00     4.70113E-06     1.08780E+00
   146       0.351395      1666.     2.48167E+00     4.70603E-06     1.08842E+00
   145       0.351596      1666.     2.49166E+00     4.71095E-06     1.08904E+00
   144       0.351797      1665.     2.50164E+00     4.71589E-06     1.08966E+00
   143       0.351998      1664.     2.51162E+00     4.72085E-06     1.09028E+00
   142       0.352199      1663.     2.52160E+00     4.72583E-06     1.09091E+00
   141       0.352401      1663.     2.53158E+00     4.73082E-06     1.09153E+00
   140       0.352602      1662.     2.54156E+00     4.73584E-06     1.09215E+00
   139       0.352804      1661.     2.55153E+00     4.74087E-06     1.09278E+00
   138       0.353005      1661.     2.56151E+00     4.74593E-06     1.09340E+00
   137       0.353207      1660.     2.57148E+00     4.75100E-06     1.09403E+00
   136       0.353409      1659.     2.58146E+00     4.75610E-06     1.09465E+00
   135       0.353611      1659.     2.59143E+00     4.76121E-06     1.09528E+00
   134       0.353813      1658.     2.60141E+00     4.76634E-06     1.09591E+00
   133       0.354015      1657.     2.61139E+00     4.77149E-06     1.09653E+00
   132       0.354218      1657.     2.62136E+00     4.77667E-06     1.09716E+00
   131       0.354420      1656.     2.63134E+00     4.78186E-06     1.09779E+00
   130       0.354623      1655.     2.64132E+00     4.78707E-06     1.09841E+00
   129       0.354825      1655.     2.65131E+00     4.79230E-06     1.09904E+00
