
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   800       0.304711      1960.     5.44318E+00     2.98506E-06     9.43815E-01
   799       0.304745      1960.     5.44348E+00     2.98873E-06     9.43923E-01
   798       0.304780      1959.     5.44376E+00     2.99238E-06     9.44031E-01
   797       0.304815      1959.     5.44402E+00     2.99603E-06     9.44139E-01
   796       0.304850      1958.     5.44426E+00     2.99968E-06     9.44247E-01
   795       0.304885      1958.     5.44447E+00     3.00331E-06     9.44355E-01
   794       0.304920      1958.     5.44467E+00     3.00695E-06     9.44463E-01
   793       0.304954      1957.     5.44484E+00     3.01058E-06     9.44571E-01
   792       0.304989      1957.     5.44500E+00     3.01420E-06     9.44679E-01
   791       0.305024      1956.     5.44513E+00     3.01782E-06     9.44787E-01
   790       0.305059      1956.     5.44525E+00     3.02143E-06     9.44895E-01
   789       0.305094      1955.     5.44534E+00     3.02504E-06     9.45002E-01
   788       0.305129      1955.     5.44541E+00     3.02864E-06     9.45111E-01
   787       0.305164      1954.     5.44546E+00     3.03223E-06     9.45219E-01
   786       0.305199      1954.     5.44549E+00     3.03583E-06     9.45327E-01
   785       0.305233      1953.     5.44550E+00     3.03941E-06     9.45435E-01
   784       0.305268      1953.     5.44549E+00     3.04299E-06     9.45543E-01
   783       0.305303      1953.     5.44546E+00     3.04657E-06     9.45651E-01
   782       0.305338      1952.     5.44541E+00     3.05014E-06     9.45759E-01
   781       0.305373      1952.     5.44534E+00     3.05370E-06     9.45867E-01
   780       0.305408      1951.     5.44524E+00     3.05726E-06     9.45975E-01
   779       0.305443      1951.     5.44513E+00     3.06082E-06     9.46083E-01
   778       0.305478      1950.     5.44500E+00     3.06437E-06     9.46191E-01
   777       0.305513      1950.     5.44484E+00     3.06791E-06     9.46299E-01
   776       0.305548      1949.     5.44467E+00     3.07145E-06     9.46408E-01
   775       0.305582      1949.     5.44447E+00     3.07499E-06     9.46516E-01
   774       0.305617      1949.     5.44426E+00     3.07852E-06     9.46624E-01
   773       0.305652      1948.     5.44402E+00     3.08204E-06     9.46732E-01
   772       0.305687      1948.     5.44377E+00     3.08556E-06     9.46840E-01
   771       0.305722      1947.     5.44349E+00     3.08908E-06     9.46949E-01
   770       0.305757      1947.     5.44319E+00     3.09259E-06     9.47057E-01
   769       0.305792      1946.     5.44288E+00     3.09609E-06     9.47165E-01
   768       0.305827      1946.     5.44254E+00     3.09959E-06     9.47273E-01
   767       0.305862      1946.     5.44218E+00     3.10308E-06     9.47381E-01
   766       0.305897      1945.     5.44180E+00     3.10657E-06     9.47490E-01
   765       0.305932      1945.     5.44140E+00     3.11006E-06     9.47598E-01
   764       0.305967      1944.     5.44098E+00     3.11354E-06     9.47706E-01
   763       0.306002      1944.     5.44054E+00     3.11701E-06     9.47815E-01
   762       0.306037      1943.     5.44008E+00     3.12048E-06     9.47923E-01
   761       0.306072      1943.     5.43960E+00     3.12395E-06     9.48031E-01
   760       0.306107      1943.     5.43910E+00     3.12741E-06     9.48140E-01
   759       0.306142      1942.     5.43857E+00     3.13086E-06     9.48248E-01
   758       0.306177      1942.     5.43803E+00     3.13431E-06     9.48356E-01
   757       0.306212      1941.     5.43747E+00     3.13776E-06     9.48465E-01
   756       0.306247      1941.     5.43689E+00     3.14120E-06     9.48573E-01
   755       0.306282      1941.     5.43628E+00     3.14464E-06     9.48682E-01
   754       0.306317      1940.     5.43566E+00     3.14807E-06     9.48790E-01
   753       0.306352      1940.     5.43501E+00     3.15150E-06     9.48899E-01
   752       0.306387      1939.     5.43435E+00     3.15492E-06     9.49007E-01
