1.00
1.40
0.10
  1212
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1212       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1211       0.079122      7736.     1.57198E+04     0.00000E+00     1.73068E-01
   1210       0.427437     41797.     1.17096E-01     0.00000E+00     9.34960E-01
   1209       0.427437     28360.     4.68269E-01     4.68853E-07     9.34960E-01
   1208       0.427461     28360.     4.68278E-01     4.68890E-07     9.35011E-01
   1207       0.427485     28356.     4.68371E-01     4.69261E-07     9.35064E-01
   1206       0.427509     28352.     4.68464E-01     4.69631E-07     9.35117E-01
   1205       0.427534     28347.     4.68556E-01     4.70000E-07     9.35171E-01
   1204       0.427558     28343.     4.68648E-01     4.70370E-07     9.35224E-01
   1203       0.427583     28339.     4.68739E-01     4.70739E-07     9.35278E-01
   1202       0.427607     28335.     4.68830E-01     4.71108E-07     9.35331E-01
   1201       0.427632     28331.     4.68920E-01     4.71476E-07     9.35385E-01
   1200       0.427656     28327.     4.69010E-01     4.71844E-07     9.35438E-01
   1199       0.427680     28323.     4.69099E-01     4.72211E-07     9.35492E-01
   1198       0.427705     28319.     4.69187E-01     4.72579E-07     9.35545E-01
   1197       0.427729     28315.     4.69275E-01     4.72946E-07     9.35598E-01
   1196       0.427754     28311.     4.69362E-01     4.73312E-07     9.35652E-01
   1195       0.427778     28307.     4.69449E-01     4.73678E-07     9.35705E-01
   1194       0.427803     28303.     4.69536E-01     4.74044E-07     9.35759E-01
   1193       0.427827     28299.     4.69622E-01     4.74410E-07     9.35812E-01
   1192       0.427852     28294.     4.69707E-01     4.74775E-07     9.35866E-01
   1191       0.427876     28290.     4.69792E-01     4.75140E-07     9.35919E-01
   1190       0.427900     28286.     4.69876E-01     4.75504E-07     9.35973E-01
   1189       0.427925     28282.     4.69960E-01     4.75868E-07     9.36026E-01
   1188       0.427949     28278.     4.70043E-01     4.76232E-07     9.36080E-01
   1187       0.427974     28274.     4.70126E-01     4.76595E-07     9.36133E-01
   1186       0.427998     28270.     4.70208E-01     4.76958E-07     9.36187E-01
   1185       0.428023     28266.     4.70290E-01     4.77321E-07     9.36240E-01
   1184       0.428047     28262.     4.70371E-01     4.77684E-07     9.36294E-01
   1183       0.428072     28258.     4.70451E-01     4.78046E-07     9.36347E-01
   1182       0.428096     28255.     4.70532E-01     4.78407E-07     9.36401E-01
   1181       0.428121     28251.     4.70611E-01     4.78769E-07     9.36454E-01
   1180       0.428145     28247.     4.70690E-01     4.79130E-07     9.36508E-01
   1179       0.428170     28243.     4.70769E-01     4.79491E-07     9.36561E-01
   1178       0.428194     28239.     4.70847E-01     4.79851E-07     9.36615E-01
   1177       0.428218     28235.     4.70924E-01     4.80211E-07     9.36668E-01
   1176       0.428243     28231.     4.71001E-01     4.80571E-07     9.36722E-01
   1175       0.428267     28227.     4.71078E-01     4.80930E-07     9.36775E-01
   1174       0.428292     28223.     4.71154E-01     4.81289E-07     9.36829E-01
   1173       0.428316     28219.     4.71229E-01     4.81648E-07     9.36882E-01
   1172       0.428341     28215.     4.71304E-01     4.82007E-07     9.36936E-01
   1171       0.428365     28211.     4.71379E-01     4.82365E-07     9.36990E-01
   1170       0.428390     28207.     4.71453E-01     4.82722E-07     9.37043E-01
   1169       0.428414     28203.     4.71526E-01     4.83080E-07     9.37097E-01
   1168       0.428439     28200.     4.71599E-01     4.83437E-07     9.37150E-01
   1167       0.428463     28196.     4.71672E-01     4.83794E-07     9.37204E-01
