
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1268       0.255237     16672.     5.06417E+00     1.87360E-06     9.39294E-01
  1267       0.255252     16670.     5.06473E+00     1.87490E-06     9.39348E-01
  1266       0.255266     16668.     5.06529E+00     1.87619E-06     9.39402E-01
  1265       0.255281     16666.     5.06584E+00     1.87749E-06     9.39456E-01
  1264       0.255295     16663.     5.06639E+00     1.87878E-06     9.39509E-01
  1263       0.255310     16661.     5.06693E+00     1.88008E-06     9.39563E-01
  1262       0.255325     16659.     5.06747E+00     1.88137E-06     9.39617E-01
  1261       0.255339     16657.     5.06800E+00     1.88266E-06     9.39670E-01
  1260       0.255354     16655.     5.06853E+00     1.88395E-06     9.39724E-01
  1259       0.255368     16653.     5.06905E+00     1.88524E-06     9.39778E-01
  1258       0.255383     16650.     5.06956E+00     1.88653E-06     9.39831E-01
  1257       0.255398     16648.     5.07007E+00     1.88782E-06     9.39885E-01
  1256       0.255412     16646.     5.07058E+00     1.88910E-06     9.39939E-01
  1255       0.255427     16644.     5.07108E+00     1.89039E-06     9.39992E-01
  1254       0.255441     16642.     5.07158E+00     1.89167E-06     9.40046E-01
  1253       0.255456     16640.     5.07207E+00     1.89295E-06     9.40100E-01
  1252       0.255471     16638.     5.07255E+00     1.89423E-06     9.40154E-01
  1251       0.255485     16636.     5.07303E+00     1.89552E-06     9.40207E-01
  1250       0.255500     16633.     5.07351E+00     1.89680E-06     9.40261E-01
  1249       0.255514     16631.     5.07398E+00     1.89807E-06     9.40315E-01
  1248       0.255529     16629.     5.07444E+00     1.89935E-06     9.40369E-01
  1247       0.255544     16627.     5.07490E+00     1.90063E-06     9.40422E-01
  1246       0.255558     16625.     5.07536E+00     1.90190E-06     9.40476E-01
  1245       0.255573     16623.     5.07581E+00     1.90318E-06     9.40530E-01
  1244       0.255587     16621.     5.07626E+00     1.90445E-06     9.40584E-01
  1243       0.255602     16619.     5.07670E+00     1.90573E-06     9.40637E-01
  1242       0.255617     16617.     5.07713E+00     1.90700E-06     9.40691E-01
  1241       0.255631     16614.     5.07756E+00     1.90827E-06     9.40745E-01
  1240       0.255646     16612.     5.07799E+00     1.90954E-06     9.40799E-01
  1239       0.255660     16610.     5.07841E+00     1.91080E-06     9.40852E-01
  1238       0.255675     16608.     5.07882E+00     1.91207E-06     9.40906E-01
  1237       0.255690     16606.     5.07923E+00     1.91334E-06     9.40960E-01
  1236       0.255704     16604.     5.07963E+00     1.91460E-06     9.41014E-01
  1235       0.255719     16602.     5.08003E+00     1.91587E-06     9.41067E-01
  1234       0.255733     16600.     5.08043E+00     1.91713E-06     9.41121E-01
  1233       0.255748     16598.     5.08082E+00     1.91839E-06     9.41175E-01
  1232       0.255763     16596.     5.08120E+00     1.91966E-06     9.41229E-01
  1231       0.255777     16594.     5.08158E+00     1.92092E-06     9.41283E-01
  1230       0.255792     16592.     5.08196E+00     1.92218E-06     9.41336E-01
  1229       0.255807     16590.     5.08233E+00     1.92343E-06     9.41390E-01
  1228       0.255821     16587.     5.08269E+00     1.92469E-06     9.41444E-01
  1227       0.255836     16585.     5.08305E+00     1.92595E-06     9.41498E-01
  1226       0.255850     16583.     5.08341E+00     1.92720E-06     9.41551E-01
  1225       0.255865     16581.     5.08376E+00     1.92846E-06     9.41605E-01
  1224       0.255880     16579.     5.08410E+00     1.92971E-06     9.41659E-01
  1223       0.255894     16577.     5.08444E+00     1.93096E-06     9.41713E-01
  1222       0.255909     16575.     5.08478E+00     1.93222E-06     9.41767E-01
  1221       0.255924     16573.     5.08511E+00     1.93347E-06     9.41821E-01
  1220       0.255938     16571.     5.08543E+00     1.93472E-06     9.41874E-01
  1219       0.255953     16569.     5.08575E+00     1.93596E-06     9.41928E-01
  1218       0.255967     16567.     5.08607E+00     1.93721E-06     9.41982E-01
  1217       0.255982     16565.     5.08638E+00     1.93846E-06     9.42036E-01
  1216       0.255997     16563.     5.08668E+00     1.93970E-06     9.42090E-01
  1215       0.256011     16561.     5.08698E+00     1.94095E-06     9.42144E-01
  1214       0.256026     16559.     5.08728E+00     1.94219E-06     9.42197E-01
  1213       0.256041     16557.     5.08757E+00     1.94344E-06     9.42251E-01
  1212       0.256055     16555.     5.08786E+00     1.94468E-06     9.42305E-01
  1211       0.256070     16553.     5.08814E+00     1.94592E-06     9.42359E-01
  1210       0.256084     16551.     5.08841E+00     1.94716E-06     9.42413E-01
  1209       0.256099     16549.     5.08868E+00     1.94840E-06     9.42467E-01
  1208       0.256114     16547.     5.08895E+00     1.94963E-06     9.42520E-01
  1207       0.256128     16545.     5.08921E+00     1.95087E-06     9.42574E-01
  1206       0.256143     16543.     5.08947E+00     1.95211E-06     9.42628E-01
  1205       0.256158     16541.     5.08972E+00     1.95334E-06     9.42682E-01
  1204       0.256172     16539.     5.08996E+00     1.95458E-06     9.42736E-01
  1203       0.256187     16537.     5.09020E+00     1.95581E-06     9.42790E-01
  1202       0.256202     16535.     5.09044E+00     1.95704E-06     9.42844E-01
  1201       0.256216     16533.     5.09067E+00     1.95827E-06     9.42898E-01
  1200       0.256231     16531.     5.09090E+00     1.95950E-06     9.42951E-01
  1199       0.256245     16529.     5.09112E+00     1.96073E-06     9.43005E-01
  1198       0.256260     16527.     5.09134E+00     1.96196E-06     9.43059E-01
