1.00
1.40
0.10
  1328
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1328       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1327       0.079122      7736.     1.57198E+04     0.00000E+00     1.85209E-01
   1326       0.399387     39057.     1.88262E-01     0.00000E+00     9.34889E-01
   1325       0.399387     26501.     7.52682E-01     6.56423E-07     9.34889E-01
   1324       0.399439     26501.     7.52697E-01     6.56475E-07     9.35010E-01
   1323       0.399462     26497.     7.52847E-01     6.56993E-07     9.35064E-01
   1322       0.399485     26493.     7.52996E-01     6.57512E-07     9.35117E-01
   1321       0.399508     26489.     7.53144E-01     6.58029E-07     9.35171E-01
   1320       0.399531     26485.     7.53292E-01     6.58546E-07     9.35224E-01
   1319       0.399554     26481.     7.53438E-01     6.59063E-07     9.35277E-01
   1318       0.399576     26478.     7.53584E-01     6.59579E-07     9.35331E-01
   1317       0.399599     26474.     7.53729E-01     6.60095E-07     9.35384E-01
   1316       0.399622     26470.     7.53873E-01     6.60610E-07     9.35438E-01
   1315       0.399645     26466.     7.54016E-01     6.61125E-07     9.35491E-01
   1314       0.399668     26462.     7.54158E-01     6.61639E-07     9.35545E-01
   1313       0.399691     26459.     7.54300E-01     6.62153E-07     9.35598E-01
   1312       0.399713     26455.     7.54440E-01     6.62666E-07     9.35652E-01
   1311       0.399736     26451.     7.54580E-01     6.63178E-07     9.35705E-01
   1310       0.399759     26447.     7.54719E-01     6.63691E-07     9.35759E-01
   1309       0.399782     26443.     7.54857E-01     6.64202E-07     9.35812E-01
   1308       0.399805     26440.     7.54994E-01     6.64714E-07     9.35866E-01
   1307       0.399828     26436.     7.55130E-01     6.65224E-07     9.35919E-01
   1306       0.399850     26432.     7.55266E-01     6.65735E-07     9.35973E-01
   1305       0.399873     26428.     7.55400E-01     6.66244E-07     9.36026E-01
   1304       0.399896     26425.     7.55534E-01     6.66754E-07     9.36080E-01
   1303       0.399919     26421.     7.55667E-01     6.67262E-07     9.36133E-01
   1302       0.399942     26417.     7.55799E-01     6.67771E-07     9.36186E-01
   1301       0.399965     26414.     7.55930E-01     6.68279E-07     9.36240E-01
   1300       0.399988     26410.     7.56061E-01     6.68786E-07     9.36293E-01
   1299       0.400010     26406.     7.56190E-01     6.69293E-07     9.36347E-01
   1298       0.400033     26402.     7.56319E-01     6.69799E-07     9.36401E-01
   1297       0.400056     26399.     7.56447E-01     6.70305E-07     9.36454E-01
   1296       0.400079     26395.     7.56574E-01     6.70811E-07     9.36508E-01
   1295       0.400102     26391.     7.56700E-01     6.71316E-07     9.36561E-01
   1294       0.400125     26388.     7.56826E-01     6.71820E-07     9.36615E-01
   1293       0.400148     26384.     7.56950E-01     6.72325E-07     9.36668E-01
   1292       0.400170     26380.     7.57074E-01     6.72828E-07     9.36722E-01
   1291       0.400193     26377.     7.57197E-01     6.73331E-07     9.36775E-01
   1290       0.400216     26373.     7.57319E-01     6.73834E-07     9.36829E-01
   1289       0.400239     26369.     7.57441E-01     6.74336E-07     9.36882E-01
   1288       0.400262     26366.     7.57561E-01     6.74838E-07     9.36936E-01
   1287       0.400285     26362.     7.57681E-01     6.75340E-07     9.36989E-01
   1286       0.400308     26358.     7.57800E-01     6.75840E-07     9.37043E-01
   1285       0.400331     26355.     7.57918E-01     6.76341E-07     9.37096E-01
   1284       0.400353     26351.     7.58035E-01     6.76841E-07     9.37150E-01
   1283       0.400376     26347.     7.58151E-01     6.77340E-07     9.37203E-01
   1282       0.400399     26344.     7.58267E-01     6.77840E-07     9.37257E-01
   1281       0.400422     26340.     7.58382E-01     6.78338E-07     9.37311E-01
   1280       0.400445     26337.     7.58496E-01     6.78836E-07     9.37364E-01
   1279       0.400468     26333.     7.58609E-01     6.79334E-07     9.37418E-01
   1278       0.400491     26329.     7.58721E-01     6.79832E-07     9.37471E-01
   1277       0.400514     26326.     7.58833E-01     6.80328E-07     9.37525E-01
   1276       0.400536     26322.     7.58944E-01     6.80825E-07     9.37578E-01
   1275       0.400559     26319.     7.59054E-01     6.81321E-07     9.37632E-01
   1274       0.400582     26315.     7.59163E-01     6.81816E-07     9.37686E-01
   1273       0.400605     26312.     7.59271E-01     6.82311E-07     9.37739E-01
   1272       0.400628     26308.     7.59378E-01     6.82806E-07     9.37793E-01
   1271       0.400651     26304.     7.59485E-01     6.83300E-07     9.37846E-01
   1270       0.400674     26301.     7.59591E-01     6.83794E-07     9.37900E-01
   1269       0.400697     26297.     7.59696E-01     6.84288E-07     9.37954E-01
   1268       0.400720     26294.     7.59801E-01     6.84781E-07     9.38007E-01
   1267       0.400743     26290.     7.59904E-01     6.85273E-07     9.38061E-01
   1266       0.400765     26287.     7.60007E-01     6.85765E-07     9.38114E-01
   1265       0.400788     26283.     7.60109E-01     6.86257E-07     9.38168E-01
   1264       0.400811     26280.     7.60210E-01     6.86748E-07     9.38222E-01
   1263       0.400834     26276.     7.60310E-01     6.87239E-07     9.38275E-01
   1262       0.400857     26273.     7.60410E-01     6.87729E-07     9.38329E-01
   1261       0.400880     26269.     7.60509E-01     6.88219E-07     9.38382E-01
   1260       0.400903     26266.     7.60607E-01     6.88709E-07     9.38436E-01
   1259       0.400926     26262.     7.60704E-01     6.89198E-07     9.38490E-01
   1258       0.400949     26259.     7.60800E-01     6.89686E-07     9.38543E-01
   1257       0.400972     26255.     7.60896E-01     6.90175E-07     9.38597E-01
   1256       0.400994     26252.     7.60991E-01     6.90663E-07     9.38651E-01
   1255       0.401017     26248.     7.61085E-01     6.91150E-07     9.38704E-01
   1254       0.401040     26245.     7.61178E-01     6.91637E-07     9.38758E-01
   1253       0.401063     26241.     7.61270E-01     6.92124E-07     9.38811E-01
   1252       0.401086     26238.     7.61362E-01     6.92610E-07     9.38865E-01
   1251       0.401109     26234.     7.61453E-01     6.93096E-07     9.38919E-01
   1250       0.401132     26231.     7.61543E-01     6.93581E-07     9.38972E-01
   1249       0.401155     26227.     7.61632E-01     6.94066E-07     9.39026E-01
   1248       0.401178     26224.     7.61721E-01     6.94551E-07     9.39080E-01
   1247       0.401201     26221.     7.61809E-01     6.95035E-07     9.39133E-01
   1246       0.401224     26217.     7.61896E-01     6.95518E-07     9.39187E-01
   1245       0.401247     26214.     7.61982E-01     6.96002E-07     9.39241E-01
   1244       0.401270     26210.     7.62067E-01     6.96485E-07     9.39294E-01
   1243       0.401292     26207.     7.62152E-01     6.96967E-07     9.39348E-01
   1242       0.401315     26203.     7.62236E-01     6.97449E-07     9.39402E-01
   1241       0.401338     26200.     7.62319E-01     6.97931E-07     9.39455E-01
   1240       0.401361     26197.     7.62401E-01     6.98412E-07     9.39509E-01
   1239       0.401384     26193.     7.62483E-01     6.98893E-07     9.39563E-01
   1238       0.401407     26190.     7.62564E-01     6.99374E-07     9.39617E-01
   1237       0.401430     26186.     7.62644E-01     6.99854E-07     9.39670E-01
   1236       0.401453     26183.     7.62723E-01     7.00334E-07     9.39724E-01
   1235       0.401476     26180.     7.62801E-01     7.00813E-07     9.39778E-01
   1234       0.401499     26176.     7.62879E-01     7.01292E-07     9.39831E-01
   1233       0.401522     26173.     7.62956E-01     7.01770E-07     9.39885E-01
   1232       0.401545     26170.     7.63032E-01     7.02249E-07     9.39939E-01
   1231       0.401568     26166.     7.63107E-01     7.02726E-07     9.39992E-01
   1230       0.401591     26163.     7.63182E-01     7.03204E-07     9.40046E-01
   1229       0.401614     26160.     7.63256E-01     7.03681E-07     9.40100E-01
   1228       0.401637     26156.     7.63329E-01     7.04157E-07     9.40154E-01
   1227       0.401660     26153.     7.63401E-01     7.04633E-07     9.40207E-01
   1226       0.401683     26150.     7.63473E-01     7.05109E-07     9.40261E-01
   1225       0.401705     26146.     7.63544E-01     7.05585E-07     9.40315E-01
   1224       0.401728     26143.     7.63614E-01     7.06060E-07     9.40369E-01
   1223       0.401751     26140.     7.63683E-01     7.06534E-07     9.40422E-01
   1222       0.401774     26136.     7.63752E-01     7.07008E-07     9.40476E-01
   1221       0.401797     26133.     7.63819E-01     7.07482E-07     9.40530E-01
   1220       0.401820     26130.     7.63886E-01     7.07956E-07     9.40583E-01
   1219       0.401843     26126.     7.63953E-01     7.08429E-07     9.40637E-01
   1218       0.401866     26123.     7.64018E-01     7.08902E-07     9.40691E-01
   1217       0.401889     26120.     7.64083E-01     7.09374E-07     9.40745E-01
   1216       0.401912     26116.     7.64147E-01     7.09846E-07     9.40799E-01
   1215       0.401935     26113.     7.64210E-01     7.10318E-07     9.40852E-01
   1214       0.401958     26110.     7.64273E-01     7.10789E-07     9.40906E-01
   1213       0.401981     26107.     7.64334E-01     7.11260E-07     9.40960E-01
   1212       0.402004     26103.     7.64395E-01     7.11730E-07     9.41014E-01
   1211       0.402027     26100.     7.64455E-01     7.12200E-07     9.41067E-01
   1210       0.402050     26097.     7.64515E-01     7.12670E-07     9.41121E-01
   1209       0.402073     26093.     7.64574E-01     7.13139E-07     9.41175E-01
   1208       0.402096     26090.     7.64632E-01     7.13608E-07     9.41229E-01
   1207       0.402119     26087.     7.64689E-01     7.14077E-07     9.41282E-01
   1206       0.402142     26084.     7.64745E-01     7.14545E-07     9.41336E-01
   1205       0.402165     26080.     7.64801E-01     7.15013E-07     9.41390E-01
   1204       0.402188     26077.     7.64856E-01     7.15480E-07     9.41444E-01
   1203       0.402211     26074.     7.64910E-01     7.15947E-07     9.41498E-01
   1202       0.402234     26071.     7.64963E-01     7.16414E-07     9.41551E-01
   1201       0.402257     26068.     7.65016E-01     7.16881E-07     9.41605E-01
   1200       0.402280     26064.     7.65068E-01     7.17347E-07     9.41659E-01
   1199       0.402303     26061.     7.65119E-01     7.17812E-07     9.41713E-01
   1198       0.402326     26058.     7.65170E-01     7.18277E-07     9.41767E-01
   1197       0.402349     26055.     7.65219E-01     7.18742E-07     9.41820E-01
   1196       0.402372     26051.     7.65268E-01     7.19207E-07     9.41874E-01
   1195       0.402395     26048.     7.65317E-01     7.19671E-07     9.41928E-01
   1194       0.402418     26045.     7.65364E-01     7.20135E-07     9.41982E-01
   1193       0.402441     26042.     7.65411E-01     7.20598E-07     9.42036E-01
   1192       0.402464     26039.     7.65457E-01     7.21062E-07     9.42090E-01
   1191       0.402487     26036.     7.65502E-01     7.21524E-07     9.42143E-01
   1190       0.402510     26032.     7.65546E-01     7.21987E-07     9.42197E-01
   1189       0.402533     26029.     7.65590E-01     7.22449E-07     9.42251E-01
   1188       0.402556     26026.     7.65633E-01     7.22910E-07     9.42305E-01
   1187       0.402579     26023.     7.65675E-01     7.23372E-07     9.42359E-01
   1186       0.402602     26020.     7.65717E-01     7.23833E-07     9.42413E-01
   1185       0.402625     26016.     7.65758E-01     7.24293E-07     9.42467E-01
   1184       0.402648     26013.     7.65798E-01     7.24754E-07     9.42520E-01
   1183       0.402671     26010.     7.65837E-01     7.25213E-07     9.42574E-01
   1182       0.402694     26007.     7.65876E-01     7.25673E-07     9.42628E-01
   1181       0.402717     26004.     7.65913E-01     7.26132E-07     9.42682E-01
   1180       0.402740     26001.     7.65951E-01     7.26591E-07     9.42736E-01
   1179       0.402763     25998.     7.65987E-01     7.27050E-07     9.42790E-01
   1178       0.402786     25994.     7.66022E-01     7.27508E-07     9.42844E-01
   1177       0.402809     25991.     7.66057E-01     7.27966E-07     9.42897E-01
   1176       0.402832     25988.     7.66091E-01     7.28423E-07     9.42951E-01
   1175       0.402855     25985.     7.66125E-01     7.28880E-07     9.43005E-01
   1174       0.402878     25982.     7.66158E-01     7.29337E-07     9.43059E-01
   1173       0.402901     25979.     7.66189E-01     7.29793E-07     9.43113E-01
   1172       0.402924     25976.     7.66221E-01     7.30249E-07     9.43167E-01
   1171       0.402947     25973.     7.66251E-01     7.30705E-07     9.43221E-01
   1170       0.402970     25970.     7.66281E-01     7.31160E-07     9.43275E-01
   1169       0.402993     25966.     7.66310E-01     7.31615E-07     9.43329E-01
   1168       0.403016     25963.     7.66338E-01     7.32070E-07     9.43383E-01
   1167       0.403039     25960.     7.66366E-01     7.32524E-07     9.43436E-01
   1166       0.403062     25957.     7.66392E-01     7.32978E-07     9.43490E-01
   1165       0.403085     25954.     7.66418E-01     7.33432E-07     9.43544E-01
   1164       0.403108     25951.     7.66444E-01     7.33885E-07     9.43598E-01
   1163       0.403131     25948.     7.66468E-01     7.34338E-07     9.43652E-01
   1162       0.403154     25945.     7.66492E-01     7.34791E-07     9.43706E-01
   1161       0.403177     25942.     7.66515E-01     7.35243E-07     9.43760E-01
   1160       0.403200     25939.     7.66538E-01     7.35695E-07     9.43814E-01
   1159       0.403223     25936.     7.66559E-01     7.36147E-07     9.43868E-01
   1158       0.403246     25933.     7.66580E-01     7.36598E-07     9.43922E-01
   1157       0.403269     25930.     7.66600E-01     7.37049E-07     9.43976E-01
   1156       0.403292     25927.     7.66620E-01     7.37500E-07     9.44030E-01
   1155       0.403315     25923.     7.66639E-01     7.37950E-07     9.44084E-01
   1154       0.403339     25920.     7.66657E-01     7.38400E-07     9.44138E-01
   1153       0.403362     25917.     7.66674E-01     7.38849E-07     9.44191E-01
   1152       0.403385     25914.     7.66690E-01     7.39299E-07     9.44245E-01
   1151       0.403408     25911.     7.66706E-01     7.39748E-07     9.44299E-01
   1150       0.403431     25908.     7.66721E-01     7.40196E-07     9.44353E-01
   1149       0.403454     25905.     7.66736E-01     7.40644E-07     9.44407E-01
   1148       0.403477     25902.     7.66749E-01     7.41092E-07     9.44461E-01
   1147       0.403500     25899.     7.66762E-01     7.41540E-07     9.44515E-01
   1146       0.403523     25896.     7.66774E-01     7.41987E-07     9.44569E-01
   1145       0.403546     25893.     7.66786E-01     7.42434E-07     9.44623E-01
   1144       0.403569     25890.     7.66796E-01     7.42881E-07     9.44677E-01
   1143       0.403592     25887.     7.66806E-01     7.43327E-07     9.44731E-01
   1142       0.403615     25884.     7.66816E-01     7.43773E-07     9.44785E-01
   1141       0.403638     25881.     7.66824E-01     7.44219E-07     9.44839E-01
   1140       0.403661     25878.     7.66832E-01     7.44664E-07     9.44893E-01
   1139       0.403684     25875.     7.66839E-01     7.45109E-07     9.44947E-01
   1138       0.403707     25872.     7.66846E-01     7.45554E-07     9.45001E-01
   1137       0.403731     25869.     7.66851E-01     7.45998E-07     9.45055E-01
   1136       0.403754     25866.     7.66856E-01     7.46442E-07     9.45109E-01
   1135       0.403777     25863.     7.66860E-01     7.46886E-07     9.45163E-01
   1134       0.403800     25860.     7.66864E-01     7.47329E-07     9.45217E-01
   1133       0.403823     25857.     7.66866E-01     7.47772E-07     9.45271E-01
   1132       0.403846     25854.     7.66869E-01     7.48215E-07     9.45325E-01
   1131       0.403869     25851.     7.66870E-01     7.48657E-07     9.45379E-01
   1130       0.403892     25848.     7.66870E-01     7.49099E-07     9.45433E-01
   1129       0.403915     25846.     7.66870E-01     7.49541E-07     9.45487E-01
   1128       0.403938     25843.     7.66869E-01     7.49982E-07     9.45541E-01
   1127       0.403961     25840.     7.66868E-01     7.50423E-07     9.45595E-01
   1126       0.403984     25837.     7.66865E-01     7.50864E-07     9.45649E-01
   1125       0.404007     25834.     7.66862E-01     7.51305E-07     9.45703E-01
   1124       0.404031     25831.     7.66859E-01     7.51745E-07     9.45757E-01
   1123       0.404054     25828.     7.66854E-01     7.52185E-07     9.45811E-01
   1122       0.404077     25825.     7.66849E-01     7.52624E-07     9.45866E-01
   1121       0.404100     25822.     7.66843E-01     7.53063E-07     9.45920E-01
   1120       0.404123     25819.     7.66836E-01     7.53502E-07     9.45974E-01
   1119       0.404146     25816.     7.66829E-01     7.53941E-07     9.46028E-01
   1118       0.404169     25813.     7.66821E-01     7.54379E-07     9.46082E-01
   1117       0.404192     25810.     7.66812E-01     7.54817E-07     9.46136E-01
   1116       0.404215     25807.     7.66802E-01     7.55254E-07     9.46190E-01
   1115       0.404238     25805.     7.66792E-01     7.55692E-07     9.46244E-01
   1114       0.404262     25802.     7.66781E-01     7.56129E-07     9.46298E-01
   1113       0.404285     25799.     7.66769E-01     7.56565E-07     9.46352E-01
   1112       0.404308     25796.     7.66757E-01     7.57002E-07     9.46406E-01
   1111       0.404331     25793.     7.66744E-01     7.57438E-07     9.46460E-01
   1110       0.404354     25790.     7.66730E-01     7.57873E-07     9.46514E-01
   1109       0.404377     25787.     7.66715E-01     7.58309E-07     9.46568E-01
   1108       0.404400     25784.     7.66700E-01     7.58744E-07     9.46623E-01
   1107       0.404423     25781.     7.66684E-01     7.59179E-07     9.46677E-01
   1106       0.404446     25779.     7.66667E-01     7.59613E-07     9.46731E-01
   1105       0.404469     25776.     7.66650E-01     7.60047E-07     9.46785E-01
   1104       0.404493     25773.     7.66631E-01     7.60481E-07     9.46839E-01
   1103       0.404516     25770.     7.66612E-01     7.60915E-07     9.46893E-01
   1102       0.404539     25767.     7.66593E-01     7.61348E-07     9.46947E-01
   1101       0.404562     25764.     7.66572E-01     7.61781E-07     9.47001E-01
   1100       0.404585     25761.     7.66551E-01     7.62213E-07     9.47055E-01
   1099       0.404608     25758.     7.66529E-01     7.62646E-07     9.47109E-01
   1098       0.404631     25756.     7.66507E-01     7.63078E-07     9.47164E-01
   1097       0.404654     25753.     7.66484E-01     7.63509E-07     9.47218E-01
   1096       0.404678     25750.     7.66460E-01     7.63941E-07     9.47272E-01
   1095       0.404701     25747.     7.66435E-01     7.64372E-07     9.47326E-01
   1094       0.404724     25744.     7.66410E-01     7.64803E-07     9.47380E-01
   1093       0.404747     25741.     7.66383E-01     7.65233E-07     9.47434E-01
   1092       0.404770     25739.     7.66357E-01     7.65663E-07     9.47488E-01
   1091       0.404793     25736.     7.66329E-01     7.66093E-07     9.47543E-01
   1090       0.404816     25733.     7.66301E-01     7.66523E-07     9.47597E-01
   1089       0.404839     25730.     7.66272E-01     7.66952E-07     9.47651E-01
   1088       0.404863     25727.     7.66242E-01     7.67381E-07     9.47705E-01
   1087       0.404886     25724.     7.66212E-01     7.67810E-07     9.47759E-01
   1086       0.404909     25722.     7.66180E-01     7.68238E-07     9.47813E-01
   1085       0.404932     25719.     7.66148E-01     7.68666E-07     9.47867E-01
   1084       0.404955     25716.     7.66116E-01     7.69094E-07     9.47922E-01
   1083       0.404978     25713.     7.66083E-01     7.69521E-07     9.47976E-01
   1082       0.405001     25710.     7.66048E-01     7.69948E-07     9.48030E-01
   1081       0.405025     25708.     7.66014E-01     7.70375E-07     9.48084E-01
   1080       0.405048     25705.     7.65978E-01     7.70802E-07     9.48138E-01
   1079       0.405071     25702.     7.65942E-01     7.71228E-07     9.48193E-01
   1078       0.405094     25699.     7.65905E-01     7.71654E-07     9.48247E-01
   1077       0.405117     25696.     7.65867E-01     7.72080E-07     9.48301E-01
   1076       0.405140     25694.     7.65829E-01     7.72505E-07     9.48355E-01
   1075       0.405163     25691.     7.65790E-01     7.72930E-07     9.48409E-01
   1074       0.405187     25688.     7.65750E-01     7.73355E-07     9.48463E-01
   1073       0.405210     25685.     7.65710E-01     7.73779E-07     9.48518E-01
   1072       0.405233     25683.     7.65668E-01     7.74203E-07     9.48572E-01
   1071       0.405256     25680.     7.65626E-01     7.74627E-07     9.48626E-01
