
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1681       0.252826     16514.     5.41156E+00     1.96430E-06     9.39293E-01
  1680       0.252841     16512.     5.41216E+00     1.96566E-06     9.39347E-01
  1679       0.252855     16510.     5.41276E+00     1.96702E-06     9.39400E-01
  1678       0.252870     16508.     5.41335E+00     1.96838E-06     9.39454E-01
  1677       0.252884     16506.     5.41393E+00     1.96974E-06     9.39508E-01
  1676       0.252898     16504.     5.41451E+00     1.97109E-06     9.39562E-01
  1675       0.252913     16502.     5.41508E+00     1.97245E-06     9.39615E-01
  1674       0.252927     16499.     5.41564E+00     1.97380E-06     9.39669E-01
  1673       0.252942     16497.     5.41621E+00     1.97515E-06     9.39723E-01
  1672       0.252956     16495.     5.41676E+00     1.97650E-06     9.39776E-01
  1671       0.252971     16493.     5.41731E+00     1.97785E-06     9.39830E-01
  1670       0.252985     16491.     5.41786E+00     1.97920E-06     9.39884E-01
  1669       0.253000     16489.     5.41840E+00     1.98055E-06     9.39937E-01
  1668       0.253014     16487.     5.41893E+00     1.98189E-06     9.39991E-01
  1667       0.253029     16485.     5.41946E+00     1.98324E-06     9.40045E-01
  1666       0.253043     16483.     5.41998E+00     1.98458E-06     9.40099E-01
  1665       0.253057     16480.     5.42050E+00     1.98593E-06     9.40152E-01
  1664       0.253072     16478.     5.42101E+00     1.98727E-06     9.40206E-01
  1663       0.253086     16476.     5.42152E+00     1.98861E-06     9.40260E-01
  1662       0.253101     16474.     5.42202E+00     1.98995E-06     9.40313E-01
  1661       0.253115     16472.     5.42251E+00     1.99129E-06     9.40367E-01
  1660       0.253130     16470.     5.42300E+00     1.99263E-06     9.40421E-01
  1659       0.253144     16468.     5.42349E+00     1.99396E-06     9.40475E-01
  1658       0.253159     16466.     5.42397E+00     1.99530E-06     9.40528E-01
  1657       0.253173     16464.     5.42444E+00     1.99663E-06     9.40582E-01
  1656       0.253188     16462.     5.42491E+00     1.99797E-06     9.40636E-01
  1655       0.253202     16459.     5.42538E+00     1.99930E-06     9.40690E-01
  1654       0.253217     16457.     5.42583E+00     2.00063E-06     9.40743E-01
  1653       0.253231     16455.     5.42629E+00     2.00196E-06     9.40797E-01
  1652       0.253245     16453.     5.42673E+00     2.00329E-06     9.40851E-01
  1651       0.253260     16451.     5.42718E+00     2.00462E-06     9.40905E-01
  1650       0.253274     16449.     5.42761E+00     2.00594E-06     9.40959E-01
  1649       0.253289     16447.     5.42804E+00     2.00727E-06     9.41012E-01
  1648       0.253303     16445.     5.42847E+00     2.00860E-06     9.41066E-01
  1647       0.253318     16443.     5.42889E+00     2.00992E-06     9.41120E-01
  1646       0.253332     16441.     5.42931E+00     2.01124E-06     9.41174E-01
  1645       0.253347     16439.     5.42972E+00     2.01256E-06     9.41227E-01
  1644       0.253361     16437.     5.43012E+00     2.01388E-06     9.41281E-01
  1643       0.253376     16435.     5.43052E+00     2.01520E-06     9.41335E-01
  1642       0.253390     16433.     5.43091E+00     2.01652E-06     9.41389E-01
  1641       0.253405     16431.     5.43130E+00     2.01784E-06     9.41443E-01
  1640       0.253419     16429.     5.43169E+00     2.01916E-06     9.41496E-01
  1639       0.253434     16427.     5.43206E+00     2.02047E-06     9.41550E-01
  1638       0.253448     16425.     5.43244E+00     2.02179E-06     9.41604E-01
  1637       0.253463     16423.     5.43280E+00     2.02310E-06     9.41658E-01
  1636       0.253477     16421.     5.43317E+00     2.02441E-06     9.41712E-01
  1635       0.253492     16418.     5.43352E+00     2.02572E-06     9.41765E-01
  1634       0.253506     16416.     5.43387E+00     2.02703E-06     9.41819E-01
  1633       0.253521     16414.     5.43422E+00     2.02834E-06     9.41873E-01
  1632       0.253535     16412.     5.43456E+00     2.02965E-06     9.41927E-01
  1631       0.253550     16410.     5.43490E+00     2.03096E-06     9.41981E-01
  1630       0.253564     16408.     5.43523E+00     2.03226E-06     9.42034E-01
  1629       0.253579     16406.     5.43555E+00     2.03357E-06     9.42088E-01
  1628       0.253593     16404.     5.43587E+00     2.03487E-06     9.42142E-01
  1627       0.253608     16402.     5.43619E+00     2.03618E-06     9.42196E-01
  1626       0.253622     16400.     5.43649E+00     2.03748E-06     9.42250E-01
  1625       0.253637     16398.     5.43680E+00     2.03878E-06     9.42304E-01
  1624       0.253651     16396.     5.43710E+00     2.04008E-06     9.42358E-01
  1623       0.253666     16394.     5.43739E+00     2.04138E-06     9.42411E-01
  1622       0.253680     16392.     5.43768E+00     2.04268E-06     9.42465E-01
  1621       0.253694     16390.     5.43796E+00     2.04397E-06     9.42519E-01
  1620       0.253709     16388.     5.43824E+00     2.04527E-06     9.42573E-01
  1619       0.253723     16386.     5.43851E+00     2.04657E-06     9.42627E-01
  1618       0.253738     16384.     5.43878E+00     2.04786E-06     9.42681E-01
  1617       0.253752     16382.     5.43904E+00     2.04915E-06     9.42735E-01
  1616       0.253767     16381.     5.43930E+00     2.05045E-06     9.42788E-01
  1615       0.253781     16379.     5.43955E+00     2.05174E-06     9.42842E-01
  1614       0.253796     16377.     5.43980E+00     2.05303E-06     9.42896E-01
  1613       0.253810     16375.     5.44004E+00     2.05432E-06     9.42950E-01
  1612       0.253825     16373.     5.44027E+00     2.05560E-06     9.43004E-01
  1611       0.253840     16371.     5.44050E+00     2.05689E-06     9.43058E-01
  1610       0.253854     16369.     5.44073E+00     2.05818E-06     9.43112E-01
  1609       0.253869     16367.     5.44095E+00     2.05946E-06     9.43166E-01
  1608       0.253883     16365.     5.44116E+00     2.06075E-06     9.43220E-01
  1607       0.253898     16363.     5.44137E+00     2.06203E-06     9.43273E-01
  1606       0.253912     16361.     5.44158E+00     2.06331E-06     9.43327E-01
  1605       0.253927     16359.     5.44178E+00     2.06460E-06     9.43381E-01
  1604       0.253941     16357.     5.44197E+00     2.06588E-06     9.43435E-01
  1603       0.253956     16355.     5.44216E+00     2.06716E-06     9.43489E-01
  1602       0.253970     16353.     5.44234E+00     2.06843E-06     9.43543E-01
  1601       0.253985     16351.     5.44252E+00     2.06971E-06     9.43597E-01
  1600       0.253999     16349.     5.44269E+00     2.07099E-06     9.43651E-01
  1599       0.254014     16347.     5.44286E+00     2.07226E-06     9.43705E-01
  1598       0.254028     16345.     5.44302E+00     2.07354E-06     9.43759E-01
  1597       0.254043     16343.     5.44318E+00     2.07481E-06     9.43813E-01
  1596       0.254057     16341.     5.44333E+00     2.07609E-06     9.43867E-01
  1595       0.254072     16340.     5.44348E+00     2.07736E-06     9.43920E-01
  1594       0.254086     16338.     5.44362E+00     2.07863E-06     9.43974E-01
  1593       0.254101     16336.     5.44376E+00     2.07990E-06     9.44028E-01
  1592       0.254115     16334.     5.44389E+00     2.08117E-06     9.44082E-01
