1.00
1.40
0.10
  1319
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1319       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1318       0.079122      7736.     1.57198E+04     0.00000E+00     1.84422E-01
   1317       0.401088     39223.     1.82749E-01     0.00000E+00     9.34878E-01
   1316       0.401088     26614.     7.30568E-01     6.43583E-07     9.34878E-01
   1315       0.401145     26614.     7.30583E-01     6.43634E-07     9.35010E-01
   1314       0.401168     26610.     7.30728E-01     6.44142E-07     9.35064E-01
   1313       0.401190     26606.     7.30873E-01     6.44650E-07     9.35117E-01
   1312       0.401213     26602.     7.31017E-01     6.45158E-07     9.35171E-01
   1311       0.401236     26598.     7.31160E-01     6.45665E-07     9.35224E-01
   1310       0.401259     26595.     7.31302E-01     6.46172E-07     9.35278E-01
   1309       0.401282     26591.     7.31444E-01     6.46678E-07     9.35331E-01
   1308       0.401305     26587.     7.31584E-01     6.47183E-07     9.35384E-01
   1307       0.401328     26583.     7.31724E-01     6.47688E-07     9.35438E-01
   1306       0.401351     26579.     7.31863E-01     6.48193E-07     9.35491E-01
   1305       0.401374     26575.     7.32001E-01     6.48697E-07     9.35545E-01
   1304       0.401397     26572.     7.32138E-01     6.49201E-07     9.35598E-01
   1303       0.401420     26568.     7.32275E-01     6.49704E-07     9.35652E-01
   1302       0.401443     26564.     7.32410E-01     6.50206E-07     9.35705E-01
   1301       0.401466     26560.     7.32545E-01     6.50709E-07     9.35759E-01
   1300       0.401489     26556.     7.32679E-01     6.51210E-07     9.35812E-01
   1299       0.401512     26553.     7.32812E-01     6.51712E-07     9.35866E-01
   1298       0.401534     26549.     7.32944E-01     6.52212E-07     9.35919E-01
   1297       0.401557     26545.     7.33076E-01     6.52713E-07     9.35973E-01
   1296       0.401580     26541.     7.33207E-01     6.53212E-07     9.36026E-01
   1295       0.401603     26538.     7.33336E-01     6.53712E-07     9.36080E-01
   1294       0.401626     26534.     7.33465E-01     6.54211E-07     9.36133E-01
   1293       0.401649     26530.     7.33594E-01     6.54709E-07     9.36187E-01
   1292       0.401672     26526.     7.33721E-01     6.55207E-07     9.36240E-01
   1291       0.401695     26523.     7.33848E-01     6.55704E-07     9.36294E-01
   1290       0.401718     26519.     7.33973E-01     6.56201E-07     9.36347E-01
   1289       0.401741     26515.     7.34098E-01     6.56698E-07     9.36401E-01
   1288       0.401764     26511.     7.34223E-01     6.57194E-07     9.36454E-01
   1287       0.401787     26508.     7.34346E-01     6.57690E-07     9.36508E-01
   1286       0.401810     26504.     7.34469E-01     6.58185E-07     9.36561E-01
   1285       0.401833     26500.     7.34590E-01     6.58679E-07     9.36615E-01
   1284       0.401856     26497.     7.34711E-01     6.59174E-07     9.36668E-01
   1283       0.401879     26493.     7.34831E-01     6.59667E-07     9.36722E-01
   1282       0.401902     26489.     7.34951E-01     6.60161E-07     9.36775E-01
   1281       0.401925     26485.     7.35069E-01     6.60654E-07     9.36829E-01
   1280       0.401948     26482.     7.35187E-01     6.61146E-07     9.36882E-01
   1279       0.401971     26478.     7.35304E-01     6.61638E-07     9.36936E-01
   1278       0.401994     26474.     7.35420E-01     6.62130E-07     9.36989E-01
   1277       0.402017     26471.     7.35536E-01     6.62621E-07     9.37043E-01
   1276       0.402040     26467.     7.35650E-01     6.63111E-07     9.37096E-01
