1.00
1.40
0.10
  1324
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1324       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1323       0.079122      7736.     1.57198E+04     0.00000E+00     1.84860E-01
   1322       0.400137     39130.     1.85807E-01     0.00000E+00     9.34882E-01
   1321       0.400137     26551.     7.42823E-01     6.51001E-07     9.34882E-01
   1320       0.400192     26551.     7.42838E-01     6.51052E-07     9.35010E-01
   1319       0.400215     26547.     7.42986E-01     6.51567E-07     9.35064E-01
   1318       0.400238     26543.     7.43133E-01     6.52081E-07     9.35117E-01
   1317       0.400261     26539.     7.43280E-01     6.52594E-07     9.35171E-01
   1316       0.400284     26535.     7.43425E-01     6.53107E-07     9.35224E-01
   1315       0.400307     26531.     7.43570E-01     6.53619E-07     9.35277E-01
   1314       0.400330     26528.     7.43713E-01     6.54131E-07     9.35331E-01
   1313       0.400353     26524.     7.43856E-01     6.54643E-07     9.35384E-01
   1312       0.400375     26520.     7.43998E-01     6.55153E-07     9.35438E-01
   1311       0.400398     26516.     7.44140E-01     6.55664E-07     9.35491E-01
   1310       0.400421     26512.     7.44280E-01     6.56174E-07     9.35545E-01
   1309       0.400444     26508.     7.44420E-01     6.56683E-07     9.35598E-01
   1308       0.400467     26505.     7.44558E-01     6.57192E-07     9.35652E-01
   1307       0.400490     26501.     7.44696E-01     6.57701E-07     9.35705E-01
   1306       0.400513     26497.     7.44833E-01     6.58209E-07     9.35759E-01
   1305       0.400536     26493.     7.44969E-01     6.58716E-07     9.35812E-01
   1304       0.400558     26490.     7.45105E-01     6.59223E-07     9.35866E-01
   1303       0.400581     26486.     7.45239E-01     6.59730E-07     9.35919E-01
   1302       0.400604     26482.     7.45373E-01     6.60236E-07     9.35973E-01
   1301       0.400627     26478.     7.45506E-01     6.60741E-07     9.36026E-01
   1300       0.400650     26475.     7.45638E-01     6.61246E-07     9.36080E-01
   1299       0.400673     26471.     7.45769E-01     6.61751E-07     9.36133E-01
   1298       0.400696     26467.     7.45899E-01     6.62255E-07     9.36186E-01
   1297       0.400719     26463.     7.46029E-01     6.62759E-07     9.36240E-01
   1296       0.400742     26460.     7.46158E-01     6.63262E-07     9.36293E-01
   1295       0.400765     26456.     7.46286E-01     6.63765E-07     9.36347E-01
   1294       0.400787     26452.     7.46413E-01     6.64267E-07     9.36401E-01
   1293       0.400810     26448.     7.46539E-01     6.64769E-07     9.36454E-01
   1292       0.400833     26445.     7.46664E-01     6.65270E-07     9.36508E-01
   1291       0.400856     26441.     7.46789E-01     6.65771E-07     9.36561E-01
   1290       0.400879     26437.     7.46913E-01     6.66271E-07     9.36615E-01
   1289       0.400902     26434.     7.47036E-01     6.66771E-07     9.36668E-01
   1288       0.400925     26430.     7.47158E-01     6.67271E-07     9.36722E-01
   1287       0.400948     26426.     7.47279E-01     6.67770E-07     9.36775E-01
   1286       0.400971     26423.     7.47400E-01     6.68268E-07     9.36829E-01
   1285       0.400994     26419.     7.47520E-01     6.68766E-07     9.36882E-01
   1284       0.401017     26415.     7.47639E-01     6.69264E-07     9.36936E-01
   1283       0.401039     26412.     7.47757E-01     6.69761E-07     9.36989E-01
   1282       0.401062     26408.     7.47874E-01     6.70258E-07     9.37043E-01
   1281       0.401085     26404.     7.47990E-01     6.70754E-07     9.37096E-01
   1280       0.401108     26401.     7.48106E-01     6.71250E-07     9.37150E-01
   1279       0.401131     26397.     7.48221E-01     6.71746E-07     9.37203E-01
   1278       0.401154     26393.     7.48335E-01     6.72241E-07     9.37257E-01
   1277       0.401177     26390.     7.48448E-01     6.72735E-07     9.37311E-01
   1276       0.401200     26386.     7.48561E-01     6.73229E-07     9.37364E-01
   1275       0.401223     26383.     7.48673E-01     6.73723E-07     9.37418E-01
   1274       0.401246     26379.     7.48783E-01     6.74216E-07     9.37471E-01
   1273       0.401269     26375.     7.48894E-01     6.74709E-07     9.37525E-01
   1272       0.401292     26372.     7.49003E-01     6.75201E-07     9.37578E-01
   1271       0.401315     26368.     7.49111E-01     6.75693E-07     9.37632E-01
   1270       0.401337     26365.     7.49219E-01     6.76185E-07     9.37686E-01
   1269       0.401360     26361.     7.49326E-01     6.76676E-07     9.37739E-01
   1268       0.401383     26358.     7.49432E-01     6.77166E-07     9.37793E-01
   1267       0.401406     26354.     7.49537E-01     6.77656E-07     9.37846E-01
   1266       0.401429     26350.     7.49642E-01     6.78146E-07     9.37900E-01
   1265       0.401452     26347.     7.49746E-01     6.78635E-07     9.37954E-01
   1264       0.401475     26343.     7.49849E-01     6.79124E-07     9.38007E-01
   1263       0.401498     26340.     7.49951E-01     6.79613E-07     9.38061E-01
   1262       0.401521     26336.     7.50052E-01     6.80101E-07     9.38114E-01
   1261       0.401544     26333.     7.50153E-01     6.80588E-07     9.38168E-01
   1260       0.401567     26329.     7.50253E-01     6.81076E-07     9.38222E-01
   1259       0.401590     26326.     7.50352E-01     6.81562E-07     9.38275E-01
   1258       0.401613     26322.     7.50450E-01     6.82049E-07     9.38329E-01
   1257       0.401636     26319.     7.50547E-01     6.82535E-07     9.38382E-01
   1256       0.401659     26315.     7.50644E-01     6.83020E-07     9.38436E-01
   1255       0.401682     26312.     7.50740E-01     6.83505E-07     9.38490E-01
   1254       0.401705     26308.     7.50835E-01     6.83990E-07     9.38543E-01
   1253       0.401728     26305.     7.50929E-01     6.84474E-07     9.38597E-01
   1252       0.401750     26301.     7.51023E-01     6.84958E-07     9.38651E-01
   1251       0.401773     26298.     7.51116E-01     6.85441E-07     9.38704E-01
   1250       0.401796     26294.     7.51208E-01     6.85924E-07     9.38758E-01
   1249       0.401819     26291.     7.51299E-01     6.86407E-07     9.38811E-01
   1248       0.401842     26287.     7.51390E-01     6.86889E-07     9.38865E-01
   1247       0.401865     26284.     7.51479E-01     6.87371E-07     9.38919E-01
   1246       0.401888     26280.     7.51568E-01     6.87852E-07     9.38972E-01
   1245       0.401911     26277.     7.51656E-01     6.88333E-07     9.39026E-01
   1244       0.401934     26273.     7.51744E-01     6.88814E-07     9.39080E-01
   1243       0.401957     26270.     7.51830E-01     6.89294E-07     9.39133E-01
   1242       0.401980     26267.     7.51916E-01     6.89774E-07     9.39187E-01
   1241       0.402003     26263.     7.52001E-01     6.90253E-07     9.39241E-01
   1240       0.402026     26260.     7.52086E-01     6.90732E-07     9.39294E-01
   1239       0.402049     26256.     7.52169E-01     6.91210E-07     9.39348E-01
   1238       0.402072     26253.     7.52252E-01     6.91688E-07     9.39402E-01
   1237       0.402095     26249.     7.52334E-01     6.92166E-07     9.39455E-01
   1236       0.402118     26246.     7.52415E-01     6.92644E-07     9.39509E-01
   1235       0.402141     26243.     7.52496E-01     6.93120E-07     9.39563E-01
   1234       0.402164     26239.     7.52575E-01     6.93597E-07     9.39617E-01
   1233       0.402187     26236.     7.52654E-01     6.94073E-07     9.39670E-01
   1232       0.402210     26232.     7.52733E-01     6.94549E-07     9.39724E-01
   1231       0.402233     26229.     7.52810E-01     6.95024E-07     9.39778E-01
   1230       0.402256     26226.     7.52887E-01     6.95499E-07     9.39831E-01
   1229       0.402279     26222.     7.52963E-01     6.95974E-07     9.39885E-01
   1228       0.402302     26219.     7.53038E-01     6.96448E-07     9.39939E-01
   1227       0.402325     26216.     7.53112E-01     6.96922E-07     9.39992E-01
   1226       0.402348     26212.     7.53186E-01     6.97395E-07     9.40046E-01
   1225       0.402371     26209.     7.53259E-01     6.97868E-07     9.40100E-01
   1224       0.402394     26206.     7.53331E-01     6.98341E-07     9.40154E-01
   1223       0.402417     26202.     7.53402E-01     6.98813E-07     9.40207E-01
   1222       0.402440     26199.     7.53473E-01     6.99285E-07     9.40261E-01
   1221       0.402463     26195.     7.53543E-01     6.99757E-07     9.40315E-01
   1220       0.402486     26192.     7.53612E-01     7.00228E-07     9.40369E-01
   1219       0.402509     26189.     7.53680E-01     7.00698E-07     9.40422E-01
   1218       0.402532     26185.     7.53748E-01     7.01169E-07     9.40476E-01
   1217       0.402555     26182.     7.53815E-01     7.01639E-07     9.40530E-01
   1216       0.402578     26179.     7.53881E-01     7.02108E-07     9.40583E-01
   1215       0.402601     26176.     7.53946E-01     7.02577E-07     9.40637E-01
   1214       0.402624     26172.     7.54011E-01     7.03046E-07     9.40691E-01
   1213       0.402647     26169.     7.54075E-01     7.03515E-07     9.40745E-01
   1212       0.402670     26166.     7.54138E-01     7.03983E-07     9.40799E-01
   1211       0.402693     26162.     7.54200E-01     7.04450E-07     9.40852E-01
   1210       0.402716     26159.     7.54262E-01     7.04918E-07     9.40906E-01
   1209       0.402739     26156.     7.54323E-01     7.05385E-07     9.40960E-01
   1208       0.402762     26152.     7.54383E-01     7.05851E-07     9.41014E-01
   1207       0.402785     26149.     7.54443E-01     7.06317E-07     9.41067E-01
