1.00
1.40
0.10
  1251
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1167       0.418139     27312.     5.71217E-01     5.66559E-07     9.39295E-01
   1166       0.418163     27309.     5.71280E-01     5.66951E-07     9.39348E-01
   1165       0.418187     27305.     5.71343E-01     5.67343E-07     9.39402E-01
   1164       0.418211     27302.     5.71406E-01     5.67735E-07     9.39456E-01
   1163       0.418235     27298.     5.71467E-01     5.68127E-07     9.39509E-01
   1162       0.418259     27294.     5.71528E-01     5.68518E-07     9.39563E-01
   1161       0.418283     27291.     5.71589E-01     5.68909E-07     9.39617E-01
   1160       0.418306     27287.     5.71649E-01     5.69299E-07     9.39670E-01
   1159       0.418330     27284.     5.71708E-01     5.69690E-07     9.39724E-01
   1158       0.418354     27280.     5.71767E-01     5.70080E-07     9.39778E-01
   1157       0.418378     27277.     5.71825E-01     5.70469E-07     9.39831E-01
   1156       0.418402     27273.     5.71883E-01     5.70858E-07     9.39885E-01
   1155       0.418426     27270.     5.71940E-01     5.71247E-07     9.39939E-01
   1154       0.418450     27266.     5.71997E-01     5.71636E-07     9.39993E-01
   1153       0.418474     27263.     5.72053E-01     5.72024E-07     9.40046E-01
   1152       0.418498     27259.     5.72108E-01     5.72412E-07     9.40100E-01
   1151       0.418522     27256.     5.72163E-01     5.72800E-07     9.40154E-01
   1150       0.418546     27252.     5.72217E-01     5.73187E-07     9.40207E-01
   1149       0.418569     27249.     5.72271E-01     5.73574E-07     9.40261E-01
   1148       0.418593     27245.     5.72324E-01     5.73961E-07     9.40315E-01
   1147       0.418617     27242.     5.72376E-01     5.74348E-07     9.40369E-01
   1146       0.418641     27238.     5.72428E-01     5.74734E-07     9.40422E-01
   1145       0.418665     27235.     5.72480E-01     5.75119E-07     9.40476E-01
   1144       0.418689     27232.     5.72530E-01     5.75505E-07     9.40530E-01
   1143       0.418713     27228.     5.72581E-01     5.75890E-07     9.40584E-01
   1142       0.418737     27225.     5.72630E-01     5.76275E-07     9.40637E-01
   1141       0.418761     27221.     5.72679E-01     5.76660E-07     9.40691E-01
   1140       0.418785     27218.     5.72728E-01     5.77044E-07     9.40745E-01
   1139       0.418809     27214.     5.72776E-01     5.77428E-07     9.40799E-01
   1138       0.418833     27211.     5.72823E-01     5.77811E-07     9.40852E-01
   1137       0.418857     27207.     5.72870E-01     5.78195E-07     9.40906E-01
   1136       0.418881     27204.     5.72916E-01     5.78578E-07     9.40960E-01
   1135       0.418904     27201.     5.72962E-01     5.78960E-07     9.41014E-01
   1134       0.418928     27197.     5.73007E-01     5.79343E-07     9.41067E-01
   1133       0.418952     27194.     5.73052E-01     5.79725E-07     9.41121E-01
   1132       0.418976     27190.     5.73096E-01     5.80107E-07     9.41175E-01
   1131       0.419000     27187.     5.73139E-01     5.80488E-07     9.41229E-01
   1130       0.419024     27184.     5.73182E-01     5.80869E-07     9.41283E-01
   1129       0.419048     27180.     5.73224E-01     5.81250E-07     9.41336E-01
   1128       0.419072     27177.     5.73266E-01     5.81631E-07     9.41390E-01
   1127       0.419096     27174.     5.73307E-01     5.82011E-07     9.41444E-01
   1126       0.419120     27170.     5.73348E-01     5.82391E-07     9.41498E-01
   1125       0.419144     27167.     5.73388E-01     5.82771E-07     9.41552E-01
   1124       0.419168     27163.     5.73427E-01     5.83150E-07     9.41605E-01
   1123       0.419192     27160.     5.73466E-01     5.83529E-07     9.41659E-01
   1122       0.419216     27157.     5.73505E-01     5.83908E-07     9.41713E-01
   1121       0.419240     27153.     5.73543E-01     5.84286E-07     9.41767E-01
   1120       0.419264     27150.     5.73580E-01     5.84665E-07     9.41821E-01
   1119       0.419288     27147.     5.73617E-01     5.85043E-07     9.41874E-01
   1118       0.419312     27143.     5.73653E-01     5.85420E-07     9.41928E-01
   1117       0.419336     27140.     5.73688E-01     5.85797E-07     9.41982E-01
   1116       0.419360     27137.     5.73723E-01     5.86174E-07     9.42036E-01
   1115       0.419383     27133.     5.73758E-01     5.86551E-07     9.42090E-01
   1114       0.419407     27130.     5.73792E-01     5.86928E-07     9.42144E-01
   1113       0.419431     27127.     5.73825E-01     5.87304E-07     9.42197E-01
   1112       0.419455     27123.     5.73858E-01     5.87680E-07     9.42251E-01
   1111       0.419479     27120.     5.73890E-01     5.88055E-07     9.42305E-01
   1110       0.419503     27117.     5.73922E-01     5.88430E-07     9.42359E-01
   1109       0.419527     27114.     5.73953E-01     5.88805E-07     9.42413E-01
