1.00
1.40
0.10
  1288
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1288       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1287       0.079122      7736.     1.57198E+04     0.00000E+00     1.77383E-01
   1286       0.416982     40780.     1.39251E-01     0.00000E+00     9.34832E-01
   1285       0.416982     27670.     5.56379E-01     5.28774E-07     9.34832E-01
   1284       0.417061     27670.     5.56391E-01     5.28815E-07     9.35008E-01
   1283       0.417085     27666.     5.56501E-01     5.29233E-07     9.35062E-01
   1282       0.417109     27662.     5.56612E-01     5.29651E-07     9.35115E-01
   1281       0.417132     27658.     5.56721E-01     5.30067E-07     9.35169E-01
   1280       0.417156     27654.     5.56830E-01     5.30484E-07     9.35222E-01
   1279       0.417180     27650.     5.56938E-01     5.30900E-07     9.35276E-01
   1278       0.417204     27646.     5.57046E-01     5.31316E-07     9.35329E-01
   1277       0.417228     27642.     5.57153E-01     5.31731E-07     9.35383E-01
   1276       0.417252     27638.     5.57259E-01     5.32146E-07     9.35436E-01
   1275       0.417275     27634.     5.57365E-01     5.32561E-07     9.35489E-01
   1274       0.417299     27630.     5.57470E-01     5.32975E-07     9.35543E-01
   1273       0.417323     27626.     5.57575E-01     5.33388E-07     9.35596E-01
   1272       0.417347     27622.     5.57679E-01     5.33802E-07     9.35650E-01
   1271       0.417371     27618.     5.57782E-01     5.34215E-07     9.35703E-01
   1270       0.417395     27614.     5.57884E-01     5.34627E-07     9.35757E-01
   1269       0.417419     27610.     5.57986E-01     5.35039E-07     9.35810E-01
   1268       0.417442     27606.     5.58088E-01     5.35451E-07     9.35864E-01
   1267       0.417466     27602.     5.58188E-01     5.35862E-07     9.35917E-01
   1266       0.417490     27598.     5.58288E-01     5.36273E-07     9.35971E-01
   1265       0.417514     27594.     5.58388E-01     5.36684E-07     9.36024E-01
   1264       0.417538     27590.     5.58487E-01     5.37094E-07     9.36078E-01
   1263       0.417562     27587.     5.58585E-01     5.37504E-07     9.36131E-01
   1262       0.417586     27583.     5.58683E-01     5.37913E-07     9.36185E-01
   1261       0.417609     27579.     5.58780E-01     5.38322E-07     9.36238E-01
   1260       0.417633     27575.     5.58876E-01     5.38731E-07     9.36292E-01
   1259       0.417657     27571.     5.58972E-01     5.39139E-07     9.36345E-01
   1258       0.417681     27567.     5.59067E-01     5.39547E-07     9.36399E-01
   1257       0.417705     27563.     5.59161E-01     5.39955E-07     9.36452E-01
   1256       0.417729     27559.     5.59255E-01     5.40362E-07     9.36506E-01
   1255       0.417753     27556.     5.59349E-01     5.40769E-07     9.36559E-01
   1254       0.417776     27552.     5.59441E-01     5.41175E-07     9.36613E-01
   1253       0.417800     27548.     5.59533E-01     5.41581E-07     9.36666E-01
   1252       0.417824     27544.     5.59625E-01     5.41987E-07     9.36720E-01
   1251       0.417848     27540.     5.59716E-01     5.42392E-07     9.36773E-01
   1250       0.417872     27536.     5.59806E-01     5.42797E-07     9.36827E-01
   1249       0.417896     27533.     5.59896E-01     5.43201E-07     9.36880E-01
   1248       0.417920     27529.     5.59985E-01     5.43605E-07     9.36934E-01
   1247       0.417944     27525.     5.60073E-01     5.44009E-07     9.36987E-01
   1246       0.417967     27521.     5.60161E-01     5.44413E-07     9.37041E-01
   1245       0.417991     27517.     5.60248E-01     5.44816E-07     9.37095E-01
   1244       0.418015     27514.     5.60335E-01     5.45218E-07     9.37148E-01
   1243       0.418039     27510.     5.60421E-01     5.45621E-07     9.37202E-01
   1242       0.418063     27506.     5.60506E-01     5.46023E-07     9.37255E-01
   1241       0.418087     27502.     5.60591E-01     5.46424E-07     9.37309E-01
   1240       0.418111     27498.     5.60675E-01     5.46826E-07     9.37362E-01
   1239       0.418135     27495.     5.60759E-01     5.47226E-07     9.37416E-01
   1238       0.418159     27491.     5.60842E-01     5.47627E-07     9.37469E-01
   1237       0.418183     27487.     5.60924E-01     5.48027E-07     9.37523E-01
   1236       0.418206     27483.     5.61006E-01     5.48427E-07     9.37577E-01
   1235       0.418230     27480.     5.61087E-01     5.48826E-07     9.37630E-01
   1234       0.418254     27476.     5.61168E-01     5.49226E-07     9.37684E-01
   1233       0.418278     27472.     5.61248E-01     5.49624E-07     9.37737E-01
   1232       0.418302     27469.     5.61327E-01     5.50023E-07     9.37791E-01
   1231       0.418326     27465.     5.61406E-01     5.50421E-07     9.37844E-01
   1230       0.418350     27461.     5.61484E-01     5.50819E-07     9.37898E-01
   1229       0.418374     27457.     5.61562E-01     5.51216E-07     9.37952E-01
   1228       0.418398     27454.     5.61639E-01     5.51613E-07     9.38005E-01
   1227       0.418422     27450.     5.61716E-01     5.52010E-07     9.38059E-01
   1226       0.418445     27446.     5.61792E-01     5.52406E-07     9.38112E-01
   1225       0.418469     27443.     5.61867E-01     5.52802E-07     9.38166E-01
   1224       0.418493     27439.     5.61942E-01     5.53198E-07     9.38220E-01
   1223       0.418517     27435.     5.62016E-01     5.53593E-07     9.38273E-01
   1222       0.418541     27432.     5.62089E-01     5.53988E-07     9.38327E-01
   1221       0.418565     27428.     5.62162E-01     5.54382E-07     9.38381E-01
   1220       0.418589     27424.     5.62235E-01     5.54777E-07     9.38434E-01
   1219       0.418613     27421.     5.62306E-01     5.55171E-07     9.38488E-01
   1218       0.418637     27417.     5.62378E-01     5.55564E-07     9.38541E-01
   1217       0.418661     27413.     5.62448E-01     5.55958E-07     9.38595E-01
   1216       0.418685     27410.     5.62518E-01     5.56350E-07     9.38649E-01
   1215       0.418709     27406.     5.62588E-01     5.56743E-07     9.38702E-01
   1214       0.418732     27403.     5.62657E-01     5.57135E-07     9.38756E-01
   1213       0.418756     27399.     5.62725E-01     5.57527E-07     9.38810E-01
   1212       0.418780     27395.     5.62793E-01     5.57919E-07     9.38863E-01
   1211       0.418804     27392.     5.62860E-01     5.58310E-07     9.38917E-01
   1210       0.418828     27388.     5.62926E-01     5.58701E-07     9.38971E-01
   1209       0.418852     27384.     5.62992E-01     5.59092E-07     9.39024E-01
   1208       0.418876     27381.     5.63058E-01     5.59482E-07     9.39078E-01
   1207       0.418900     27377.     5.63123E-01     5.59872E-07     9.39132E-01
   1206       0.418924     27374.     5.63187E-01     5.60261E-07     9.39185E-01
   1205       0.418948     27370.     5.63251E-01     5.60651E-07     9.39239E-01
   1204       0.418972     27367.     5.63314E-01     5.61040E-07     9.39293E-01
   1203       0.418996     27363.     5.63376E-01     5.61428E-07     9.39346E-01
   1202       0.419020     27359.     5.63438E-01     5.61816E-07     9.39400E-01
   1201       0.419044     27356.     5.63500E-01     5.62204E-07     9.39454E-01
   1200       0.419068     27352.     5.63560E-01     5.62592E-07     9.39507E-01
   1199       0.419092     27349.     5.63621E-01     5.62979E-07     9.39561E-01
   1198       0.419115     27345.     5.63680E-01     5.63366E-07     9.39615E-01
   1197       0.419139     27342.     5.63740E-01     5.63753E-07     9.39668E-01
   1196       0.419163     27338.     5.63798E-01     5.64139E-07     9.39722E-01
   1195       0.419187     27335.     5.63856E-01     5.64526E-07     9.39776E-01
   1194       0.419211     27331.     5.63913E-01     5.64911E-07     9.39829E-01
   1193       0.419235     27328.     5.63970E-01     5.65297E-07     9.39883E-01
   1192       0.419259     27324.     5.64027E-01     5.65682E-07     9.39937E-01
   1191       0.419283     27321.     5.64082E-01     5.66067E-07     9.39991E-01
   1190       0.419307     27317.     5.64137E-01     5.66451E-07     9.40044E-01
   1189       0.419331     27314.     5.64192E-01     5.66835E-07     9.40098E-01
   1188       0.419355     27310.     5.64246E-01     5.67219E-07     9.40152E-01
   1187       0.419379     27307.     5.64299E-01     5.67602E-07     9.40205E-01
   1186       0.419403     27303.     5.64352E-01     5.67986E-07     9.40259E-01
   1185       0.419427     27300.     5.64405E-01     5.68369E-07     9.40313E-01
   1184       0.419451     27296.     5.64456E-01     5.68751E-07     9.40367E-01
   1183       0.419475     27293.     5.64508E-01     5.69133E-07     9.40420E-01
   1182       0.419499     27289.     5.64558E-01     5.69515E-07     9.40474E-01
   1181       0.419523     27286.     5.64608E-01     5.69897E-07     9.40528E-01
   1180       0.419547     27282.     5.64658E-01     5.70278E-07     9.40582E-01
   1179       0.419571     27279.     5.64707E-01     5.70659E-07     9.40635E-01
   1178       0.419595     27275.     5.64755E-01     5.71040E-07     9.40689E-01
   1177       0.419619     27272.     5.64803E-01     5.71421E-07     9.40743E-01
   1176       0.419643     27269.     5.64850E-01     5.71801E-07     9.40797E-01
   1175       0.419667     27265.     5.64897E-01     5.72181E-07     9.40850E-01
   1174       0.419691     27262.     5.64943E-01     5.72560E-07     9.40904E-01
   1173       0.419715     27258.     5.64989E-01     5.72939E-07     9.40958E-01
   1172       0.419739     27255.     5.65034E-01     5.73318E-07     9.41012E-01
   1171       0.419763     27251.     5.65078E-01     5.73697E-07     9.41065E-01
   1170       0.419787     27248.     5.65122E-01     5.74075E-07     9.41119E-01
   1169       0.419811     27245.     5.65165E-01     5.74453E-07     9.41173E-01
   1168       0.419835     27241.     5.65208E-01     5.74831E-07     9.41227E-01
   1167       0.419859     27238.     5.65250E-01     5.75208E-07     9.41281E-01
   1166       0.419883     27234.     5.65292E-01     5.75585E-07     9.41334E-01
   1165       0.419907     27231.     5.65333E-01     5.75962E-07     9.41388E-01
   1164       0.419931     27228.     5.65374E-01     5.76339E-07     9.41442E-01
   1163       0.419955     27224.     5.65414E-01     5.76715E-07     9.41496E-01
   1162       0.419979     27221.     5.65453E-01     5.77091E-07     9.41550E-01
   1161       0.420003     27218.     5.65492E-01     5.77466E-07     9.41603E-01
   1160       0.420027     27214.     5.65530E-01     5.77842E-07     9.41657E-01
   1159       0.420051     27211.     5.65568E-01     5.78217E-07     9.41711E-01
   1158       0.420075     27207.     5.65606E-01     5.78592E-07     9.41765E-01
   1157       0.420099     27204.     5.65642E-01     5.78966E-07     9.41819E-01
   1156       0.420123     27201.     5.65678E-01     5.79340E-07     9.41872E-01
   1155       0.420147     27197.     5.65714E-01     5.79714E-07     9.41926E-01
   1154       0.420171     27194.     5.65749E-01     5.80088E-07     9.41980E-01
   1153       0.420195     27191.     5.65784E-01     5.80461E-07     9.42034E-01
   1152       0.420219     27187.     5.65817E-01     5.80834E-07     9.42088E-01
   1151       0.420243     27184.     5.65851E-01     5.81207E-07     9.42142E-01
   1150       0.420267     27181.     5.65884E-01     5.81579E-07     9.42195E-01
   1149       0.420291     27177.     5.65916E-01     5.81951E-07     9.42249E-01
   1148       0.420315     27174.     5.65948E-01     5.82323E-07     9.42303E-01
   1147       0.420339     27171.     5.65979E-01     5.82694E-07     9.42357E-01
   1146       0.420363     27168.     5.66010E-01     5.83066E-07     9.42411E-01
   1145       0.420387     27164.     5.66040E-01     5.83437E-07     9.42465E-01
   1144       0.420411     27161.     5.66069E-01     5.83807E-07     9.42519E-01
   1143       0.420435     27158.     5.66098E-01     5.84178E-07     9.42572E-01
   1142       0.420459     27154.     5.66127E-01     5.84548E-07     9.42626E-01
   1141       0.420483     27151.     5.66155E-01     5.84918E-07     9.42680E-01
   1140       0.420507     27148.     5.66182E-01     5.85287E-07     9.42734E-01
   1139       0.420531     27145.     5.66209E-01     5.85657E-07     9.42788E-01
   1138       0.420555     27141.     5.66235E-01     5.86026E-07     9.42842E-01
   1137       0.420579     27138.     5.66261E-01     5.86394E-07     9.42896E-01
   1136       0.420603     27135.     5.66286E-01     5.86763E-07     9.42949E-01
   1135       0.420627     27131.     5.66311E-01     5.87131E-07     9.43003E-01
   1134       0.420651     27128.     5.66335E-01     5.87499E-07     9.43057E-01
   1133       0.420675     27125.     5.66359E-01     5.87866E-07     9.43111E-01
   1132       0.420699     27122.     5.66382E-01     5.88234E-07     9.43165E-01
   1131       0.420723     27118.     5.66404E-01     5.88601E-07     9.43219E-01
   1130       0.420747     27115.     5.66426E-01     5.88967E-07     9.43273E-01
   1129       0.420771     27112.     5.66447E-01     5.89334E-07     9.43327E-01
   1128       0.420795     27109.     5.66468E-01     5.89700E-07     9.43381E-01
   1127       0.420819     27106.     5.66489E-01     5.90066E-07     9.43435E-01
   1126       0.420843     27102.     5.66508E-01     5.90432E-07     9.43488E-01
   1125       0.420867     27099.     5.66528E-01     5.90797E-07     9.43542E-01
   1124       0.420892     27096.     5.66546E-01     5.91162E-07     9.43596E-01
   1123       0.420916     27093.     5.66564E-01     5.91527E-07     9.43650E-01
   1122       0.420940     27089.     5.66582E-01     5.91891E-07     9.43704E-01
   1121       0.420964     27086.     5.66599E-01     5.92256E-07     9.43758E-01
   1120       0.420988     27083.     5.66616E-01     5.92620E-07     9.43812E-01
   1119       0.421012     27080.     5.66631E-01     5.92984E-07     9.43866E-01
   1118       0.421036     27077.     5.66647E-01     5.93347E-07     9.43920E-01
   1117       0.421060     27073.     5.66662E-01     5.93710E-07     9.43974E-01
   1116       0.421084     27070.     5.66676E-01     5.94073E-07     9.44028E-01
   1115       0.421108     27067.     5.66690E-01     5.94436E-07     9.44082E-01
   1114       0.421132     27064.     5.66703E-01     5.94798E-07     9.44136E-01
   1113       0.421156     27061.     5.66716E-01     5.95160E-07     9.44190E-01
   1112       0.421180     27058.     5.66728E-01     5.95522E-07     9.44244E-01
   1111       0.421204     27054.     5.66740E-01     5.95884E-07     9.44298E-01
   1110       0.421228     27051.     5.66751E-01     5.96245E-07     9.44351E-01
   1109       0.421252     27048.     5.66762E-01     5.96606E-07     9.44405E-01
   1108       0.421276     27045.     5.66772E-01     5.96967E-07     9.44459E-01
   1107       0.421301     27042.     5.66781E-01     5.97327E-07     9.44513E-01
   1106       0.421325     27039.     5.66790E-01     5.97687E-07     9.44567E-01
   1105       0.421349     27036.     5.66799E-01     5.98047E-07     9.44621E-01
   1104       0.421373     27032.     5.66806E-01     5.98407E-07     9.44675E-01
   1103       0.421397     27029.     5.66814E-01     5.98767E-07     9.44729E-01
   1102       0.421421     27026.     5.66821E-01     5.99126E-07     9.44783E-01
   1101       0.421445     27023.     5.66827E-01     5.99485E-07     9.44837E-01
   1100       0.421469     27020.     5.66833E-01     5.99843E-07     9.44891E-01
   1099       0.421493     27017.     5.66838E-01     6.00202E-07     9.44945E-01
   1098       0.421517     27014.     5.66843E-01     6.00560E-07     9.44999E-01
   1097       0.421541     27011.     5.66847E-01     6.00918E-07     9.45053E-01
   1096       0.421565     27007.     5.66850E-01     6.01275E-07     9.45107E-01
   1095       0.421590     27004.     5.66853E-01     6.01633E-07     9.45161E-01
   1094       0.421614     27001.     5.66856E-01     6.01990E-07     9.45215E-01
   1093       0.421638     26998.     5.66858E-01     6.02346E-07     9.45269E-01
   1092       0.421662     26995.     5.66859E-01     6.02703E-07     9.45323E-01
   1091       0.421686     26992.     5.66860E-01     6.03059E-07     9.45377E-01
   1090       0.421710     26989.     5.66861E-01     6.03415E-07     9.45431E-01
   1089       0.421734     26986.     5.66861E-01     6.03771E-07     9.45485E-01
   1088       0.421758     26983.     5.66860E-01     6.04127E-07     9.45539E-01
   1087       0.421782     26980.     5.66859E-01     6.04482E-07     9.45593E-01
   1086       0.421806     26977.     5.66857E-01     6.04837E-07     9.45647E-01
   1085       0.421831     26973.     5.66855E-01     6.05192E-07     9.45702E-01
   1084       0.421855     26970.     5.66852E-01     6.05546E-07     9.45756E-01
   1083       0.421879     26967.     5.66848E-01     6.05900E-07     9.45810E-01
   1082       0.421903     26964.     5.66845E-01     6.06254E-07     9.45864E-01
   1081       0.421927     26961.     5.66840E-01     6.06608E-07     9.45918E-01
   1080       0.421951     26958.     5.66835E-01     6.06961E-07     9.45972E-01
   1079       0.421975     26955.     5.66830E-01     6.07315E-07     9.46026E-01
   1078       0.421999     26952.     5.66824E-01     6.07668E-07     9.46080E-01
   1077       0.422023     26949.     5.66817E-01     6.08020E-07     9.46134E-01
   1076       0.422048     26946.     5.66810E-01     6.08373E-07     9.46188E-01
