                                                   
  1  1  2  1.000  2  1                                                          
  2  1  1  1.345  2  1                                                          
  2  1  2  2.000  2  2                                                          
  6  2  5  1.820  3  1                                                          
  6  2  6  2.678  3  2                                                          
  6  2  7  3.753  3  3                                                          
  6  2  8  4.355  3  4                                                          
  6  1  1  5.369  2  5                                                          
  6  1  2  6.002  2  6                                                          
  7  2  4  2.068  3  1                                                          
  7  2  5  2.951  3  2                                                          
  7  2  6  3.736  3  3                                                          
  7  2  7  4.774  3  4                                                          
  7  2  8  5.366  3  5                                                          
  7  1  1  6.372  2  6                                                          
  7  1  2  7.004  2  7                                                          
  8  2  3  2.001  3  1                                                          
  8  2  4  3.214  3  2                                                          
  8  2  5  4.019  3  3                                                          
  8  2  6  4.772  3  4                                                          
  8  2  7  5.788  3  5                                                          
  8  2  8  6.374  3  6                                                          
  8  1  1  7.374  2  7                                                          
  8  1  2  8.005  2  8                                                          
 10  2  1  2.519  3  1                                                          
 10  2  2  3.476  3  2                                                          
 10  2  3  4.320  3  3                                                          
 10  2  4  5.344  3  4                                                          
 10  2  5  6.093  3  5                                                          
 10  2  6  6.816  3  6                                                          
 10  2  7  7.808  3  7                                                          
 10  2  8  8.387  3  8                                                          
 10  1  1  9.378  2  9                                                          
 10  1  2 10.009  2 10                                                          
 11  3 18  1.844  4  1                                                          
 11  2  1  3.730  3  2                                                          
 11  2  2  4.594  3  3                                                          
 11  2  3  5.394  3  4                                                          
 11  2  4  6.381  3  5                                                          
 11  2  5  7.116  3  6                                                          
 11  2  6  7.831  3  7                                                          
 11  2  7  8.816  3  8                                                          
 11  2  8  9.392  3  9                                                          
 11  1  1 10.380  2 10                                                          
 11  1  2 11.011  2 11                                                          
 12  3 17  2.250  4  1                                                          
 12  3 18  3.155  4  2                                                          
 12  2  1  4.855  3  3                                                          
 12  2  2  5.671  3  4                                                          
 12  2  3  6.446  3  5                                                          
 12  2  4  7.408  3  6                                                          
 12  2  5  8.135  3  7                                                          
 12  2  6  8.845  3  8                                                          
 12  2  7  9.822  3  9                                                          
 12  2  8 10.397  3 10                                                          
 12  1  1 11.383  2 11                                                          
 12  1  2 12.014  2 12                                                          
 13  3 16  1.990  4  1                                                          
 13  3 17  3.530  4  2                                                          
 13  3 18  4.339  4  3                                                          
 13  2  1  5.938  3  4                                                          
 13  2  2  6.726  3  5                                                          
 13  2  3  7.485  3  6                                                          
 13  2  4  8.427  3  7                                                          
 13  2  5  9.150  3  8                                                          
 13  2  6  9.856  3  9                                                          
 13  2  7 10.829  3 10                                                          
 13  2  8 11.402  3 11                                                          
 13  1  1 12.386  2 12                                                          
 13  1  2 13.017  2 13                                                          
 14  3 15  2.323  4  1                                                          
 14  3 16  3.289  4  2                                                          
 14  3 17  4.708  4  3                                                          
 14  3 18  5.466  4  4                                                          
 14  2  1  7.004  3  5                                                          
 14  2  2  7.769  3  6                                                          
 14  2  3  8.515  3  7                                                          
 14  2  4  9.443  3  8                                                          
 14  2  5 10.162  3  9                                                          
 14  2  6 10.867  3 10                                                          
 14  2  7 11.835  3 11                                                          
 14  2  8 12.407  3 12                                                          
 14  1  1 13.389  2 13                                                          
 14  1  2 14.021  2 14                                                          
 16  3 13  2.619  4  1                                                          
 16  3 14  3.936  4  2                                                          
 16  3 15  4.813  4  3                                                          
 16  3 16  5.595  4  4                                                          
 16  3 17  6.936  4  5                                                          
 16  3 18  7.634  4  6                                                          
 16  2  1  9.093  3  7                                                          
 16  2  2  9.829  3  8                                                          
 16  2  3 10.559  3  9                                                          
 16  2  4 11.468  3 10                                                          
 16  2  5 12.183  3 11                                                          
 16  2  6 12.886  3 12                                                          
 16  2  7 13.848  3 13                                                          
 16  2  8 14.419  3 14                                                          
 16  1  1 15.397  2 15                                                          
 16  1  2 16.030  2 16                                                          
 18  3 11  3.230  4  1                                                          
 18  3 12  4.276  4  2                                                          
 18  3 13  5.204  4  3                                                          
 18  3 14  6.285  4  4                                                          
 18  3 15  7.055  4  5                                                          
